Plan_id,benefit_id,Duration,terms_condition
PLN000055,BEN000088,90,Can be availed once per billing cycle.
PLN000087,BEN000020,365,Redeemable via MyTelecom app.
PLN000054,BEN000056,7,Offer valid for new subscribers only.
PLN000044,BEN000162,28,Maximum one redemption per subscriber.
PLN000024,BEN000076,180,Applicable on first activation. Subject to availability.
PLN000027,BEN000197,90,Maximum one redemption per subscriber.
PLN000092,BEN000179,90,Can be availed once per billing cycle.
PLN000049,BEN000132,60,Benefit auto-activates within 24 hours of recharge.
PLN000080,BEN000055,90,Benefit auto-activates within 24 hours of recharge.
PLN000009,BEN000186,30,Redeemable via MyTelecom app.
PLN000043,BEN000060,365,Offer valid for new subscribers only.
PLN000024,BEN000005,180,Applicable only on selected networks.
PLN000056,BEN000125,180,Can be availed once per billing cycle.
PLN000067,BEN000140,180,Requires active internet connection to access.
PLN000039,BEN000156,90,Offer valid for new subscribers only.
PLN000068,BEN000155,365,Valid for plan duration only. Non-transferable.
PLN000061,BEN000020,7,Maximum one redemption per subscriber.
PLN000036,BEN000106,28,Maximum one redemption per subscriber.
PLN000081,BEN000038,14,Requires active internet connection to access.
PLN000039,BEN000166,28,Can be availed once per billing cycle.
PLN000077,BEN000077,14,Terms subject to change without notice.
PLN000064,BEN000094,30,Maximum one redemption per subscriber.
PLN000064,BEN000188,60,Applicable only on selected networks.
PLN000097,BEN000142,60,Terms subject to change without notice.
PLN000043,BEN000158,14,Valid for plan duration only. Non-transferable.
PLN000016,BEN000017,60,Applicable on first activation. Subject to availability.
PLN000057,BEN000140,60,Can be availed once per billing cycle.
PLN000002,BEN000176,365,Terms subject to change without notice.
PLN000019,BEN000011,365,Valid for plan duration only. Non-transferable.
PLN000054,BEN000037,180,Benefit auto-activates within 24 hours of recharge.
PLN000037,BEN000166,180,Applicable on first activation. Subject to availability.
PLN000082,BEN000145,30,Applicable on first activation. Subject to availability.
PLN000100,BEN000147,60,Valid for plan duration only. Non-transferable.
PLN000010,BEN000121,365,Offer valid for new subscribers only.
PLN000028,BEN000098,180,Requires active internet connection to access.
PLN000067,BEN000072,30,Valid for plan duration only. Non-transferable.
PLN000045,BEN000166,60,Benefit auto-activates within 24 hours of recharge.
PLN000040,BEN000039,7,Requires active internet connection to access.
PLN000061,BEN000026,180,Offer valid for new subscribers only.
PLN000031,BEN000065,30,Terms subject to change without notice.
PLN000071,BEN000156,90,Applicable on first activation. Subject to availability.
PLN000005,BEN000039,365,Offer valid for new subscribers only.
PLN000065,BEN000039,30,Maximum one redemption per subscriber.
PLN000001,BEN000033,14,Requires active internet connection to access.
PLN000024,BEN000087,7,Valid for plan duration only. Non-transferable.
PLN000055,BEN000161,14,Requires active internet connection to access.
PLN000076,BEN000005,7,Applicable only on selected networks.
PLN000032,BEN000087,7,Terms subject to change without notice.
PLN000046,BEN000026,7,Offer valid for new subscribers only.
PLN000025,BEN000120,7,Offer valid for new subscribers only.
PLN000027,BEN000024,180,Redeemable via MyTelecom app.
PLN000035,BEN000131,28,Benefit auto-activates within 24 hours of recharge.
PLN000079,BEN000127,14,Redeemable via MyTelecom app.
PLN000084,BEN000138,365,Applicable only on selected networks.
PLN000030,BEN000040,90,Terms subject to change without notice.
PLN000090,BEN000128,365,Maximum one redemption per subscriber.
PLN000084,BEN000030,28,Redeemable via MyTelecom app.
PLN000043,BEN000062,60,Requires active internet connection to access.
PLN000094,BEN000127,14,Applicable only on selected networks.
PLN000076,BEN000144,90,Terms subject to change without notice.
PLN000006,BEN000150,180,Redeemable via MyTelecom app.
PLN000081,BEN000077,180,Requires active internet connection to access.
PLN000022,BEN000087,14,Redeemable via MyTelecom app.
PLN000030,BEN000033,365,Requires active internet connection to access.
PLN000066,BEN000162,7,Applicable only on selected networks.
PLN000099,BEN000026,28,Offer valid for new subscribers only.
PLN000020,BEN000035,90,Can be availed once per billing cycle.
PLN000014,BEN000012,28,Can be availed once per billing cycle.
PLN000099,BEN000022,28,Applicable only on selected networks.
PLN000038,BEN000119,180,Applicable only on selected networks.
PLN000002,BEN000009,30,Requires active internet connection to access.
PLN000044,BEN000043,7,Offer valid for new subscribers only.
PLN000073,BEN000079,60,Maximum one redemption per subscriber.
PLN000005,BEN000009,365,Benefit auto-activates within 24 hours of recharge.
PLN000084,BEN000067,14,Requires active internet connection to access.
PLN000066,BEN000083,365,Requires active internet connection to access.
PLN000026,BEN000175,60,Redeemable via MyTelecom app.
PLN000097,BEN000199,90,Can be availed once per billing cycle.
PLN000081,BEN000026,7,Valid for plan duration only. Non-transferable.
PLN000081,BEN000145,14,Applicable only on selected networks.
PLN000015,BEN000041,7,Maximum one redemption per subscriber.
PLN000085,BEN000079,365,Requires active internet connection to access.
PLN000027,BEN000200,7,Requires active internet connection to access.
PLN000070,BEN000154,30,Offer valid for new subscribers only.
PLN000039,BEN000135,30,Terms subject to change without notice.
PLN000069,BEN000177,30,Offer valid for new subscribers only.
PLN000017,BEN000103,30,Requires active internet connection to access.
PLN000098,BEN000144,90,Can be availed once per billing cycle.
PLN000087,BEN000050,365,Applicable only on selected networks.
PLN000040,BEN000068,7,Offer valid for new subscribers only.
PLN000069,BEN000073,365,Applicable on first activation. Subject to availability.
PLN000012,BEN000143,60,Offer valid for new subscribers only.
PLN000047,BEN000097,365,Can be availed once per billing cycle.
PLN000035,BEN000082,7,Offer valid for new subscribers only.
PLN000083,BEN000198,30,Valid for plan duration only. Non-transferable.
PLN000045,BEN000100,30,Redeemable via MyTelecom app.
PLN000058,BEN000053,28,Redeemable via MyTelecom app.
PLN000098,BEN000017,30,Terms subject to change without notice.
PLN000100,BEN000113,14,Offer valid for new subscribers only.
PLN000059,BEN000092,7,Requires active internet connection to access.
PLN000084,BEN000008,180,Offer valid for new subscribers only.
PLN000089,BEN000021,365,Redeemable via MyTelecom app.
PLN000073,BEN000034,365,Applicable on first activation. Subject to availability.
PLN000062,BEN000037,30,Valid for plan duration only. Non-transferable.
PLN000002,BEN000075,90,Benefit auto-activates within 24 hours of recharge.
PLN000018,BEN000003,28,Terms subject to change without notice.
PLN000056,BEN000168,30,Applicable on first activation. Subject to availability.
PLN000004,BEN000066,365,Maximum one redemption per subscriber.
PLN000080,BEN000110,14,Applicable on first activation. Subject to availability.
PLN000049,BEN000081,28,Applicable on first activation. Subject to availability.
PLN000066,BEN000057,180,Applicable on first activation. Subject to availability.
PLN000024,BEN000040,14,Requires active internet connection to access.
PLN000038,BEN000035,180,Applicable only on selected networks.
PLN000085,BEN000065,180,Can be availed once per billing cycle.
PLN000001,BEN000144,28,Benefit auto-activates within 24 hours of recharge.
PLN000022,BEN000001,14,Applicable on first activation. Subject to availability.
PLN000100,BEN000188,7,Offer valid for new subscribers only.
PLN000002,BEN000196,365,Can be availed once per billing cycle.
PLN000054,BEN000156,14,Requires active internet connection to access.
PLN000076,BEN000154,60,Maximum one redemption per subscriber.
PLN000084,BEN000183,90,Can be availed once per billing cycle.
PLN000046,BEN000052,7,Maximum one redemption per subscriber.
PLN000010,BEN000067,7,Maximum one redemption per subscriber.
PLN000049,BEN000034,365,Redeemable via MyTelecom app.
PLN000022,BEN000015,365,Applicable only on selected networks.
PLN000043,BEN000087,365,Requires active internet connection to access.
PLN000049,BEN000192,180,Applicable only on selected networks.
PLN000032,BEN000006,30,Maximum one redemption per subscriber.
PLN000031,BEN000047,30,Maximum one redemption per subscriber.
PLN000086,BEN000155,30,Terms subject to change without notice.
PLN000069,BEN000172,28,Applicable only on selected networks.
PLN000041,BEN000083,7,Applicable on first activation. Subject to availability.
PLN000096,BEN000188,30,Maximum one redemption per subscriber.
PLN000016,BEN000135,60,Offer valid for new subscribers only.
PLN000010,BEN000184,30,Maximum one redemption per subscriber.
PLN000029,BEN000109,30,Redeemable via MyTelecom app.
PLN000036,BEN000034,7,Applicable on first activation. Subject to availability.
PLN000061,BEN000058,90,Benefit auto-activates within 24 hours of recharge.
PLN000022,BEN000108,180,Valid for plan duration only. Non-transferable.
PLN000060,BEN000009,30,Applicable only on selected networks.
PLN000034,BEN000091,14,Requires active internet connection to access.
PLN000064,BEN000141,90,Requires active internet connection to access.
PLN000029,BEN000070,60,Valid for plan duration only. Non-transferable.
PLN000041,BEN000119,30,Valid for plan duration only. Non-transferable.
PLN000043,BEN000168,14,Valid for plan duration only. Non-transferable.
PLN000013,BEN000150,30,Can be availed once per billing cycle.
PLN000058,BEN000187,28,Redeemable via MyTelecom app.
PLN000028,BEN000079,180,Terms subject to change without notice.
PLN000002,BEN000088,14,Requires active internet connection to access.
PLN000027,BEN000028,7,Maximum one redemption per subscriber.
PLN000011,BEN000061,180,Maximum one redemption per subscriber.
PLN000002,BEN000151,30,Benefit auto-activates within 24 hours of recharge.
PLN000038,BEN000114,7,Terms subject to change without notice.
PLN000093,BEN000163,90,Offer valid for new subscribers only.
PLN000084,BEN000076,180,Offer valid for new subscribers only.
PLN000084,BEN000044,28,Offer valid for new subscribers only.
PLN000041,BEN000163,28,Can be availed once per billing cycle.
PLN000026,BEN000071,60,Maximum one redemption per subscriber.
PLN000008,BEN000128,90,Offer valid for new subscribers only.
PLN000023,BEN000060,28,Applicable on first activation. Subject to availability.
PLN000087,BEN000021,90,Redeemable via MyTelecom app.
PLN000029,BEN000029,7,Applicable on first activation. Subject to availability.
PLN000091,BEN000030,180,Can be availed once per billing cycle.
PLN000069,BEN000087,90,Valid for plan duration only. Non-transferable.
PLN000004,BEN000181,7,Valid for plan duration only. Non-transferable.
PLN000016,BEN000102,14,Can be availed once per billing cycle.
PLN000081,BEN000058,60,Redeemable via MyTelecom app.
PLN000096,BEN000026,90,Offer valid for new subscribers only.
PLN000053,BEN000117,30,Redeemable via MyTelecom app.
PLN000049,BEN000145,90,Applicable on first activation. Subject to availability.
PLN000084,BEN000184,14,Maximum one redemption per subscriber.
PLN000030,BEN000044,30,Terms subject to change without notice.
PLN000076,BEN000172,180,Requires active internet connection to access.
PLN000075,BEN000004,180,Offer valid for new subscribers only.
PLN000054,BEN000011,180,Can be availed once per billing cycle.
PLN000024,BEN000117,60,Offer valid for new subscribers only.
PLN000042,BEN000006,30,Applicable on first activation. Subject to availability.
PLN000009,BEN000130,60,Valid for plan duration only. Non-transferable.
PLN000068,BEN000179,28,Benefit auto-activates within 24 hours of recharge.
PLN000032,BEN000082,30,Offer valid for new subscribers only.
PLN000044,BEN000135,90,Applicable only on selected networks.
PLN000004,BEN000104,28,Redeemable via MyTelecom app.
PLN000043,BEN000042,7,Redeemable via MyTelecom app.
PLN000098,BEN000043,7,Benefit auto-activates within 24 hours of recharge.
PLN000051,BEN000195,7,Applicable only on selected networks.
PLN000082,BEN000031,30,Offer valid for new subscribers only.
PLN000069,BEN000119,28,Offer valid for new subscribers only.
PLN000045,BEN000109,90,Maximum one redemption per subscriber.
PLN000070,BEN000193,14,Redeemable via MyTelecom app.
PLN000099,BEN000003,14,Can be availed once per billing cycle.
PLN000006,BEN000171,30,Redeemable via MyTelecom app.
PLN000043,BEN000009,14,Redeemable via MyTelecom app.
PLN000091,BEN000065,90,Requires active internet connection to access.
PLN000035,BEN000173,14,Applicable only on selected networks.
PLN000063,BEN000092,14,Can be availed once per billing cycle.
PLN000052,BEN000078,7,Valid for plan duration only. Non-transferable.
PLN000054,BEN000029,30,Requires active internet connection to access.
PLN000082,BEN000126,7,Maximum one redemption per subscriber.
PLN000056,BEN000005,7,Valid for plan duration only. Non-transferable.
PLN000015,BEN000184,14,Applicable on first activation. Subject to availability.
PLN000053,BEN000192,7,Requires active internet connection to access.
PLN000015,BEN000136,14,Terms subject to change without notice.
PLN000007,BEN000077,7,Valid for plan duration only. Non-transferable.
PLN000040,BEN000088,90,Applicable only on selected networks.
PLN000074,BEN000034,28,Requires active internet connection to access.
PLN000047,BEN000159,60,Offer valid for new subscribers only.
PLN000063,BEN000094,7,Benefit auto-activates within 24 hours of recharge.
PLN000028,BEN000102,28,Redeemable via MyTelecom app.
PLN000096,BEN000110,14,Applicable only on selected networks.
PLN000030,BEN000080,180,Maximum one redemption per subscriber.
PLN000090,BEN000025,180,Benefit auto-activates within 24 hours of recharge.
PLN000015,BEN000053,7,Benefit auto-activates within 24 hours of recharge.
PLN000032,BEN000053,365,Maximum one redemption per subscriber.
PLN000046,BEN000012,28,Applicable only on selected networks.
PLN000038,BEN000186,30,Applicable on first activation. Subject to availability.
PLN000048,BEN000170,14,Offer valid for new subscribers only.
PLN000005,BEN000183,90,Applicable on first activation. Subject to availability.
PLN000003,BEN000060,14,Redeemable via MyTelecom app.
PLN000071,BEN000053,60,Offer valid for new subscribers only.
PLN000001,BEN000083,28,Terms subject to change without notice.
PLN000022,BEN000032,28,Offer valid for new subscribers only.
PLN000041,BEN000010,14,Benefit auto-activates within 24 hours of recharge.
PLN000053,BEN000010,180,Can be availed once per billing cycle.
PLN000030,BEN000025,90,Applicable on first activation. Subject to availability.
PLN000087,BEN000163,14,Applicable on first activation. Subject to availability.
PLN000051,BEN000149,60,Can be availed once per billing cycle.
PLN000098,BEN000166,7,Maximum one redemption per subscriber.
PLN000017,BEN000065,7,Terms subject to change without notice.
PLN000064,BEN000095,90,Requires active internet connection to access.
PLN000042,BEN000118,30,Benefit auto-activates within 24 hours of recharge.
PLN000060,BEN000167,60,Requires active internet connection to access.
PLN000030,BEN000130,14,Can be availed once per billing cycle.
PLN000035,BEN000139,28,Redeemable via MyTelecom app.
PLN000054,BEN000018,90,Redeemable via MyTelecom app.
PLN000094,BEN000070,180,Can be availed once per billing cycle.
PLN000003,BEN000121,60,Valid for plan duration only. Non-transferable.
PLN000035,BEN000019,28,Offer valid for new subscribers only.
PLN000091,BEN000164,30,Maximum one redemption per subscriber.
PLN000088,BEN000106,28,Benefit auto-activates within 24 hours of recharge.
PLN000078,BEN000152,7,Valid for plan duration only. Non-transferable.
PLN000040,BEN000149,180,Redeemable via MyTelecom app.
PLN000018,BEN000137,30,Terms subject to change without notice.
PLN000058,BEN000139,60,Offer valid for new subscribers only.
PLN000090,BEN000109,14,Terms subject to change without notice.
PLN000068,BEN000068,30,Benefit auto-activates within 24 hours of recharge.
PLN000087,BEN000147,90,Valid for plan duration only. Non-transferable.
PLN000085,BEN000150,30,Terms subject to change without notice.
PLN000089,BEN000155,14,Offer valid for new subscribers only.
PLN000026,BEN000077,365,Offer valid for new subscribers only.
PLN000052,BEN000173,365,Applicable on first activation. Subject to availability.
PLN000088,BEN000017,7,Applicable on first activation. Subject to availability.
PLN000091,BEN000018,180,Valid for plan duration only. Non-transferable.
PLN000022,BEN000126,14,Benefit auto-activates within 24 hours of recharge.
PLN000032,BEN000167,90,Can be availed once per billing cycle.
PLN000050,BEN000042,14,Applicable on first activation. Subject to availability.
PLN000092,BEN000163,180,Benefit auto-activates within 24 hours of recharge.
PLN000073,BEN000139,30,Benefit auto-activates within 24 hours of recharge.
PLN000039,BEN000079,14,Benefit auto-activates within 24 hours of recharge.
PLN000034,BEN000095,365,Applicable on first activation. Subject to availability.
PLN000040,BEN000163,28,Can be availed once per billing cycle.
PLN000034,BEN000196,60,Applicable on first activation. Subject to availability.
PLN000076,BEN000135,28,Applicable only on selected networks.
PLN000069,BEN000059,180,Benefit auto-activates within 24 hours of recharge.
PLN000055,BEN000151,28,Offer valid for new subscribers only.
PLN000040,BEN000194,365,Can be availed once per billing cycle.
PLN000081,BEN000090,30,Maximum one redemption per subscriber.
PLN000007,BEN000059,14,Requires active internet connection to access.
PLN000006,BEN000152,14,Offer valid for new subscribers only.
PLN000094,BEN000016,180,Terms subject to change without notice.
PLN000018,BEN000029,7,Redeemable via MyTelecom app.
PLN000026,BEN000162,60,Can be availed once per billing cycle.
PLN000099,BEN000109,28,Applicable on first activation. Subject to availability.
PLN000022,BEN000013,7,Requires active internet connection to access.
PLN000023,BEN000148,60,Valid for plan duration only. Non-transferable.
PLN000069,BEN000116,14,Benefit auto-activates within 24 hours of recharge.
PLN000045,BEN000167,14,Offer valid for new subscribers only.
PLN000016,BEN000157,90,Maximum one redemption per subscriber.
PLN000069,BEN000075,28,Maximum one redemption per subscriber.
PLN000029,BEN000092,28,Redeemable via MyTelecom app.
PLN000094,BEN000179,60,Maximum one redemption per subscriber.
PLN000019,BEN000138,90,Offer valid for new subscribers only.
PLN000096,BEN000100,365,Benefit auto-activates within 24 hours of recharge.
PLN000074,BEN000173,180,Valid for plan duration only. Non-transferable.
PLN000001,BEN000003,30,Applicable on first activation. Subject to availability.
PLN000029,BEN000135,28,Requires active internet connection to access.
PLN000061,BEN000003,365,Applicable on first activation. Subject to availability.
PLN000024,BEN000028,28,Applicable on first activation. Subject to availability.
PLN000009,BEN000003,14,Redeemable via MyTelecom app.
PLN000034,BEN000052,365,Requires active internet connection to access.
PLN000013,BEN000090,60,Valid for plan duration only. Non-transferable.
PLN000013,BEN000174,28,Applicable only on selected networks.
PLN000053,BEN000037,30,Terms subject to change without notice.
PLN000053,BEN000019,7,Applicable on first activation. Subject to availability.
PLN000076,BEN000190,90,Offer valid for new subscribers only.
PLN000096,BEN000114,30,Maximum one redemption per subscriber.
PLN000044,BEN000016,90,Applicable on first activation. Subject to availability.
PLN000046,BEN000090,30,Redeemable via MyTelecom app.
PLN000044,BEN000170,90,Offer valid for new subscribers only.
PLN000054,BEN000073,60,Valid for plan duration only. Non-transferable.
PLN000094,BEN000100,60,Valid for plan duration only. Non-transferable.
PLN000084,BEN000108,90,Benefit auto-activates within 24 hours of recharge.
PLN000026,BEN000085,7,Terms subject to change without notice.
PLN000039,BEN000065,14,Can be availed once per billing cycle.
PLN000076,BEN000088,28,Applicable only on selected networks.
PLN000089,BEN000103,7,Offer valid for new subscribers only.
PLN000042,BEN000132,60,Applicable only on selected networks.
PLN000068,BEN000081,30,Offer valid for new subscribers only.
PLN000050,BEN000109,28,Offer valid for new subscribers only.
PLN000062,BEN000032,60,Maximum one redemption per subscriber.
PLN000002,BEN000148,30,Maximum one redemption per subscriber.
PLN000069,BEN000152,7,Offer valid for new subscribers only.
PLN000049,BEN000153,30,Benefit auto-activates within 24 hours of recharge.
PLN000043,BEN000143,7,Applicable only on selected networks.
PLN000060,BEN000115,90,Applicable only on selected networks.
PLN000077,BEN000007,60,Benefit auto-activates within 24 hours of recharge.
PLN000058,BEN000059,30,Applicable only on selected networks.
PLN000095,BEN000160,90,Requires active internet connection to access.
PLN000038,BEN000084,7,Benefit auto-activates within 24 hours of recharge.
PLN000026,BEN000107,60,Requires active internet connection to access.
PLN000091,BEN000171,7,Maximum one redemption per subscriber.
PLN000087,BEN000190,60,Requires active internet connection to access.
PLN000041,BEN000181,30,Maximum one redemption per subscriber.
PLN000084,BEN000040,60,Applicable on first activation. Subject to availability.
PLN000060,BEN000194,60,Applicable only on selected networks.
PLN000084,BEN000153,365,Maximum one redemption per subscriber.
PLN000048,BEN000127,7,Applicable only on selected networks.
PLN000094,BEN000038,365,Terms subject to change without notice.
PLN000038,BEN000039,180,Benefit auto-activates within 24 hours of recharge.
PLN000065,BEN000150,60,Benefit auto-activates within 24 hours of recharge.
PLN000024,BEN000104,7,Valid for plan duration only. Non-transferable.
PLN000070,BEN000175,180,Maximum one redemption per subscriber.
PLN000097,BEN000022,28,Redeemable via MyTelecom app.
PLN000037,BEN000072,60,Applicable only on selected networks.
PLN000077,BEN000144,60,Offer valid for new subscribers only.
PLN000040,BEN000067,365,Can be availed once per billing cycle.
PLN000038,BEN000140,30,Can be availed once per billing cycle.
PLN000027,BEN000022,14,Can be availed once per billing cycle.
PLN000023,BEN000128,28,Valid for plan duration only. Non-transferable.
PLN000061,BEN000045,90,Benefit auto-activates within 24 hours of recharge.
PLN000027,BEN000003,7,Maximum one redemption per subscriber.
PLN000023,BEN000177,90,Offer valid for new subscribers only.
PLN000094,BEN000183,180,Terms subject to change without notice.
PLN000045,BEN000170,30,Offer valid for new subscribers only.
PLN000094,BEN000098,30,Valid for plan duration only. Non-transferable.
PLN000073,BEN000125,90,Benefit auto-activates within 24 hours of recharge.
PLN000053,BEN000119,60,Applicable only on selected networks.
PLN000096,BEN000097,7,Offer valid for new subscribers only.
PLN000059,BEN000139,30,Requires active internet connection to access.
PLN000026,BEN000186,60,Redeemable via MyTelecom app.
PLN000090,BEN000159,90,Redeemable via MyTelecom app.
PLN000019,BEN000008,60,Redeemable via MyTelecom app.
PLN000051,BEN000081,90,Maximum one redemption per subscriber.
PLN000027,BEN000145,14,Applicable on first activation. Subject to availability.
PLN000091,BEN000178,14,Applicable on first activation. Subject to availability.
PLN000054,BEN000125,30,Terms subject to change without notice.
PLN000017,BEN000077,365,Benefit auto-activates within 24 hours of recharge.
PLN000065,BEN000059,365,Maximum one redemption per subscriber.
PLN000001,BEN000115,7,Offer valid for new subscribers only.
PLN000061,BEN000154,14,Requires active internet connection to access.
PLN000071,BEN000102,180,Terms subject to change without notice.
PLN000011,BEN000136,30,Offer valid for new subscribers only.
PLN000068,BEN000174,180,Applicable only on selected networks.
PLN000049,BEN000166,7,Maximum one redemption per subscriber.
PLN000053,BEN000017,60,Terms subject to change without notice.
PLN000095,BEN000090,7,Benefit auto-activates within 24 hours of recharge.
PLN000015,BEN000001,60,Applicable only on selected networks.
PLN000061,BEN000156,60,Can be availed once per billing cycle.
PLN000086,BEN000057,180,Benefit auto-activates within 24 hours of recharge.
PLN000084,BEN000089,60,Terms subject to change without notice.
PLN000029,BEN000119,90,Terms subject to change without notice.
PLN000061,BEN000015,180,Applicable only on selected networks.
PLN000065,BEN000144,180,Offer valid for new subscribers only.
PLN000087,BEN000158,30,Offer valid for new subscribers only.
PLN000020,BEN000013,14,Redeemable via MyTelecom app.
PLN000046,BEN000045,28,Requires active internet connection to access.
PLN000088,BEN000146,180,Maximum one redemption per subscriber.
PLN000077,BEN000151,365,Applicable on first activation. Subject to availability.
PLN000047,BEN000196,60,Redeemable via MyTelecom app.
PLN000009,BEN000136,28,Applicable only on selected networks.
PLN000096,BEN000059,7,Can be availed once per billing cycle.
PLN000029,BEN000173,90,Maximum one redemption per subscriber.
PLN000049,BEN000058,365,Maximum one redemption per subscriber.
PLN000023,BEN000126,90,Applicable on first activation. Subject to availability.
PLN000009,BEN000026,60,Applicable on first activation. Subject to availability.
PLN000057,BEN000084,365,Redeemable via MyTelecom app.
PLN000079,BEN000161,90,Applicable on first activation. Subject to availability.
PLN000040,BEN000021,90,Requires active internet connection to access.
PLN000017,BEN000039,28,Benefit auto-activates within 24 hours of recharge.
PLN000094,BEN000053,28,Valid for plan duration only. Non-transferable.
PLN000091,BEN000002,30,Terms subject to change without notice.
PLN000004,BEN000190,14,Can be availed once per billing cycle.
PLN000027,BEN000163,30,Applicable on first activation. Subject to availability.
PLN000003,BEN000013,7,Redeemable via MyTelecom app.
PLN000065,BEN000175,30,Maximum one redemption per subscriber.
PLN000090,BEN000179,30,Requires active internet connection to access.
PLN000045,BEN000178,7,Applicable on first activation. Subject to availability.
PLN000096,BEN000062,30,Applicable on first activation. Subject to availability.
PLN000050,BEN000147,365,Applicable only on selected networks.
PLN000057,BEN000156,7,Redeemable via MyTelecom app.
PLN000038,BEN000087,28,Applicable on first activation. Subject to availability.
PLN000056,BEN000009,14,Applicable on first activation. Subject to availability.
PLN000034,BEN000134,365,Maximum one redemption per subscriber.
PLN000009,BEN000143,60,Terms subject to change without notice.
PLN000044,BEN000181,14,Redeemable via MyTelecom app.
PLN000053,BEN000172,28,Benefit auto-activates within 24 hours of recharge.
PLN000022,BEN000194,60,Applicable on first activation. Subject to availability.
PLN000090,BEN000118,60,Applicable on first activation. Subject to availability.
PLN000061,BEN000155,28,Can be availed once per billing cycle.
PLN000062,BEN000166,60,Benefit auto-activates within 24 hours of recharge.
PLN000041,BEN000061,365,Terms subject to change without notice.
PLN000044,BEN000078,14,Valid for plan duration only. Non-transferable.
PLN000040,BEN000200,180,Maximum one redemption per subscriber.
PLN000034,BEN000086,60,Benefit auto-activates within 24 hours of recharge.
PLN000039,BEN000016,180,Terms subject to change without notice.
PLN000058,BEN000143,365,Redeemable via MyTelecom app.
PLN000099,BEN000135,7,Terms subject to change without notice.
PLN000065,BEN000161,365,Valid for plan duration only. Non-transferable.
PLN000096,BEN000155,28,Offer valid for new subscribers only.
PLN000036,BEN000137,90,Maximum one redemption per subscriber.
PLN000050,BEN000071,14,Maximum one redemption per subscriber.
PLN000034,BEN000144,30,Redeemable via MyTelecom app.
PLN000045,BEN000147,90,Valid for plan duration only. Non-transferable.
PLN000008,BEN000010,365,Applicable only on selected networks.
