Sim_id,IMEI_no,Start_date,end_date
SIM000096,923718806305464,2022-05-12 01:35:39,2022-08-27 07:00:10
SIM000097,253215663097906,2020-02-04 01:00:11,
SIM000098,658418794941779,2022-03-30 06:40:20,2022-10-12 23:15:55
SIM000099,333068737444078,2023-04-28 02:15:59,
SIM000100,455378044769679,2021-07-18 02:44:08,2021-11-19 04:59:08
SIM000101,020265879085628,2024-02-10 01:28:01,
SIM000102,020149358591935,2024-01-16 01:49:20,2024-07-16 10:02:54
SIM000103,360852623697479,2018-08-06 12:40:05,
SIM000104,132220432161513,2018-03-23 04:22:53,2018-08-23 18:37:29
SIM000105,375846509201975,2022-04-05 23:52:46,
SIM000106,836456191658482,2018-04-15 13:29:43,
SIM000107,887553783606741,2022-12-17 18:40:02,2023-08-22 16:28:34
SIM000108,302276600642008,2024-04-29 20:40:55,
SIM000109,660638328702301,2024-03-08 07:01:19,2024-09-30 16:01:58
SIM000110,410544135465168,2018-02-25 13:29:17,2018-08-07 16:40:12
SIM000111,078904803855916,2020-10-15 02:28:13,
SIM000112,652810988417804,2023-08-15 03:58:49,
SIM000113,543711792152427,2019-11-19 06:37:25,2020-07-21 15:36:33
SIM000114,285080182387492,2019-07-11 17:55:46,
SIM000115,962076926331426,2024-06-03 09:10:50,
SIM000116,357392577724440,2022-01-23 18:19:05,
SIM000117,866901859296523,2024-12-01 20:18:29,
SIM000118,744251061096104,2021-03-25 06:00:25,2021-12-07 13:49:23
SIM000119,850204468131968,2018-04-02 06:02:47,
SIM000120,954703048603534,2024-12-15 23:19:14,
SIM000121,875646339877007,2021-11-09 20:50:24,
SIM000122,691102601891545,2022-05-15 09:35:08,2022-09-19 16:21:45
SIM000123,289348208753730,2023-05-25 03:49:00,
SIM000124,394424259522382,2022-01-05 15:22:53,2022-12-23 02:59:30
SIM000125,636489730534749,2019-05-06 08:23:22,
SIM000126,725501055187602,2019-09-01 13:16:21,
SIM000127,952552478354111,2020-12-08 18:40:18,
SIM000128,641634034237697,2020-07-28 08:20:20,2021-01-17 13:16:19
SIM000129,602944362231249,2019-01-06 16:36:39,2019-08-16 01:51:43
SIM000130,003039079881686,2023-04-13 04:33:58,
SIM000131,957477583534924,2019-01-13 06:48:53,2019-07-24 17:41:01
SIM000132,072371818887682,2019-09-02 10:12:50,
SIM000133,742634395121036,2019-09-16 16:48:07,
SIM000134,809362362733120,2019-08-02 08:08:33,
SIM000135,367474940426361,2023-07-13 07:17:05,
SIM000136,329998498971767,2018-02-16 04:47:09,
SIM000137,199175504686163,2018-08-09 05:55:14,2018-11-15 10:56:24
SIM000138,239875508022235,2020-05-10 05:00:07,
SIM000139,776401985401034,2020-05-25 07:27:04,2021-01-14 13:51:28
SIM000140,207739276035647,2018-05-30 21:32:39,
SIM000141,991866807648303,2023-08-30 04:56:07,
SIM000142,515075462509648,2021-11-02 10:28:23,
SIM000143,158843043179146,2018-03-31 21:21:57,
SIM000144,925827333440397,2024-03-12 07:15:45,2024-12-07 09:46:22
SIM000145,531613417483318,2024-10-30 11:22:22,
SIM000146,004023177711662,2023-08-23 22:09:27,2024-07-04 02:00:49
SIM000147,691363238980212,2019-11-04 09:51:07,
SIM000148,921201633454174,2021-05-12 22:33:59,2022-03-21 10:51:26
SIM000149,551274334795325,2018-11-18 03:55:56,2019-04-25 00:01:20
SIM000150,099041579478027,2021-09-13 08:23:13,
SIM000151,824364588115349,2024-12-24 06:13:01,
SIM000152,518292537671338,2022-12-27 23:09:09,2023-10-16 18:00:46
SIM000153,738685610209958,2022-10-04 01:15:57,2023-07-14 19:07:11
SIM000154,042077320860010,2020-11-18 03:00:01,
SIM000155,550814217224322,2023-06-23 03:20:11,2024-06-06 22:20:47
SIM000156,035761293647452,2022-02-26 07:49:40,
SIM000157,539705242968646,2019-09-17 09:35:14,
SIM000158,494275674922698,2020-04-13 06:00:14,
SIM000159,170244768701822,2019-07-18 22:14:58,2020-06-29 00:09:58
SIM000160,482917348673136,2024-02-18 08:39:52,
SIM000161,079367314529437,2024-10-05 00:28:29,
SIM000162,274018713800403,2024-06-28 01:50:15,
SIM000163,797711674107933,2022-11-27 18:35:15,
SIM000164,880187796341270,2023-11-17 02:56:33,
SIM000165,989240082780222,2020-02-09 08:45:50,
SIM000166,439416293096601,2019-08-20 19:48:40,
SIM000167,786188480450463,2023-11-10 09:51:27,
SIM000168,495031858281453,2024-08-30 23:53:00,
SIM000169,266679176345802,2020-12-04 19:09:28,2021-10-09 06:33:14
SIM000170,028251454918365,2021-01-01 01:30:11,
SIM000171,817936353990341,2019-02-06 05:57:57,2019-07-19 05:30:42
SIM000172,223633397582205,2019-10-15 01:06:13,2020-01-27 04:44:47
SIM000173,307585213477345,2023-12-26 20:42:01,
SIM000174,368042433208040,2021-07-05 01:57:48,
SIM000175,900922766204373,2020-01-18 07:55:05,
SIM000176,989903964505991,2022-06-09 22:10:44,
SIM000177,254081988644815,2020-05-06 00:29:51,2020-11-09 19:58:29
SIM000178,932344963667645,2020-09-01 20:53:49,2021-02-03 19:28:17
SIM000179,813687213038494,2019-12-16 13:43:51,2020-08-01 11:15:58
SIM000180,829588399587367,2024-06-19 11:47:22,
SIM000181,191660455095572,2024-12-23 14:58:25,
SIM000182,641667467816046,2024-07-09 10:25:36,
SIM000183,654734196925915,2023-03-22 11:44:20,
SIM000184,752702172822144,2019-01-26 14:40:35,2019-05-14 07:46:33
SIM000185,469745118232203,2024-10-22 06:08:19,
SIM000186,258045278348497,2020-09-23 06:08:44,
SIM000187,806125319694719,2024-03-20 00:45:21,2024-12-06 20:16:01
SIM000188,150163457054058,2019-01-22 07:41:21,2019-10-12 08:24:06
SIM000189,200681584122277,2024-04-22 20:19:25,
SIM000190,982094392246305,2022-06-17 18:50:00,
SIM000191,296607072009742,2020-07-22 09:39:36,
SIM000192,427748747806996,2020-03-18 19:16:42,
SIM000193,603308048329450,2018-11-01 11:18:15,
SIM000194,037999250095967,2021-07-11 14:17:58,
SIM000195,678277708568797,2023-05-17 09:20:59,2023-09-19 07:33:02
SIM000196,956056834702820,2023-08-16 18:33:21,2023-11-17 11:08:15
SIM000197,473893476011366,2018-12-13 05:27:46,2019-08-16 08:21:59
SIM000198,646264130112966,2022-03-12 08:27:37,
SIM000199,268712103287776,2019-08-21 01:19:04,
SIM000200,779519914976862,2020-05-04 02:47:07,
SIM000201,725728472368457,2020-04-08 08:04:14,
SIM000202,501229995488601,2021-12-01 15:48:58,2022-05-18 09:57:08
SIM000203,979773203878704,2020-10-13 10:36:27,2021-08-24 15:38:36
SIM000204,639754407430910,2020-05-01 08:40:54,2021-02-07 23:40:59
SIM000205,767226422464846,2022-09-14 01:32:31,
SIM000206,766625870791180,2018-09-24 20:32:48,
SIM000207,732553813699564,2019-10-29 16:31:09,
SIM000208,810031326251260,2023-07-30 11:16:17,2023-11-09 06:19:51
SIM000209,710561782233819,2023-08-27 10:16:10,2024-04-09 12:48:33
SIM000210,026349126792652,2022-02-01 07:22:04,2022-10-18 22:07:47
SIM000211,705004704360449,2024-01-07 13:27:21,
SIM000212,008798119679141,2024-05-14 17:45:57,
SIM000213,308464826573396,2024-11-22 04:33:15,
SIM000214,383461076803662,2023-03-16 09:36:50,
SIM000215,263673169205300,2021-03-13 00:47:10,
SIM000216,110822492580787,2020-02-24 08:31:43,2021-02-01 14:28:40
SIM000217,101277330778879,2024-07-24 16:34:46,
SIM000218,054891960378375,2020-08-12 20:23:37,
SIM000219,432152964797238,2024-09-10 14:16:38,
SIM000220,699613337808534,2019-04-30 10:42:06,2020-01-30 18:32:29
SIM000221,565587302652610,2019-11-09 18:23:37,2020-07-14 13:38:53
SIM000222,294665301653178,2023-06-07 17:23:55,2024-03-17 08:12:28
SIM000223,117164278699734,2023-03-13 05:10:59,2024-03-07 12:27:21
SIM000224,082802874781966,2018-06-25 07:17:53,2018-12-31 04:54:08
SIM000225,270616873696889,2020-08-14 23:33:13,
SIM000226,692647460869955,2020-05-14 14:47:02,
SIM000227,727666652365849,2019-03-23 04:58:44,2019-12-19 13:11:10
SIM000228,827257369658206,2020-02-06 07:14:53,
SIM000229,285634364647395,2023-02-25 19:22:08,2023-06-15 07:48:24
SIM000230,795890898464102,2024-03-09 05:36:28,
SIM000231,875230727242192,2019-04-03 06:07:19,2019-07-08 20:11:14
SIM000232,511905898922497,2023-03-05 18:33:27,
SIM000233,621761003423130,2018-08-01 16:55:13,2019-05-08 06:20:31
SIM000234,100281989154578,2019-03-16 14:17:37,
SIM000235,948586881926667,2024-04-24 22:29:30,2024-10-29 09:37:31
SIM000236,700657576608024,2018-08-14 18:01:26,2019-02-11 11:20:27
SIM000237,352316228346601,2018-06-15 21:17:16,2019-04-27 05:37:00
SIM000238,032991237927413,2024-03-07 15:47:33,
SIM000239,120189556956601,2018-08-29 08:07:10,
SIM000240,667162121411515,2024-07-04 16:09:55,
SIM000241,520764225619054,2018-07-28 06:30:57,2019-01-08 11:58:07
SIM000242,107460330776250,2022-07-16 19:30:17,2023-04-16 09:14:16
SIM000243,304688357179576,2019-04-28 13:13:29,2020-04-27 12:30:07
SIM000244,345414246059277,2019-11-19 21:25:49,2020-09-18 09:11:19
SIM000245,976387188390194,2019-02-18 04:57:19,
SIM000246,128288738202398,2022-11-05 16:26:04,
SIM000247,965905056338942,2019-03-01 13:37:09,
SIM000248,402104214494352,2023-03-08 13:31:09,
SIM000249,096167324915194,2018-04-01 14:14:52,2018-09-03 08:52:13
SIM000250,089773417900988,2019-02-05 16:57:27,2019-10-07 11:12:21
SIM000251,777389779485962,2024-10-20 15:21:15,
SIM000252,179936908013260,2020-02-01 12:50:22,
SIM000253,436807862357600,2024-02-09 10:38:38,2024-05-18 01:47:34
SIM000254,431077471488820,2020-01-07 14:00:21,2020-11-03 23:40:48
SIM000255,629035509390824,2020-04-27 19:03:16,
SIM000256,438405150504016,2024-09-16 11:48:48,
SIM000257,179219014182359,2019-05-03 17:26:09,
SIM000258,206747439868547,2020-10-22 21:59:50,2021-10-21 18:16:30
SIM000259,671382070227792,2022-07-09 06:58:00,
SIM000260,666340951906925,2024-03-09 22:18:38,
SIM000261,538857099727597,2021-08-13 00:06:54,
SIM000262,663538122231982,2020-05-13 19:46:42,2021-01-24 20:41:48
SIM000263,167296821780247,2019-03-24 05:45:39,
SIM000264,470545746009569,2019-04-30 04:47:08,2019-08-05 08:27:38
SIM000265,054536520230303,2022-10-20 21:50:28,
SIM000266,870866563844300,2024-10-30 06:00:27,
SIM000267,512195514202531,2023-05-13 12:09:07,
SIM000268,896800870575040,2024-06-30 08:51:12,
SIM000269,014037619509109,2022-03-21 05:15:55,2022-12-14 14:47:18
SIM000270,453983534168570,2023-12-11 06:36:55,2024-07-18 04:02:37
SIM000271,104141602861332,2020-06-13 11:21:02,
SIM000272,650274206839494,2020-10-05 07:18:44,2021-09-08 20:32:13
SIM000273,526506800632182,2021-10-17 23:29:25,
SIM000274,784411420181940,2023-09-19 14:03:53,
SIM000275,930457241568064,2024-03-20 00:17:49,2024-12-12 22:32:57
SIM000276,974984189625770,2018-09-23 18:51:53,
SIM000277,864839434404839,2018-06-18 23:44:10,
SIM000278,559809598589108,2022-08-04 18:10:24,2022-11-23 05:18:34
SIM000279,775765519524222,2023-01-18 10:54:27,2023-05-30 01:40:17
SIM000280,493143381873487,2019-02-14 02:03:27,2019-06-29 03:38:20
SIM000281,607914551256448,2023-09-10 00:13:05,
SIM000282,912162280556907,2022-03-20 11:35:31,
SIM000283,903402615413559,2024-06-11 07:28:02,
SIM000284,689241629087056,2018-12-03 06:30:02,2019-11-12 03:59:56
SIM000285,335656162528008,2024-10-20 02:02:30,
SIM000286,824399424895654,2022-11-08 10:15:10,
SIM000287,916339750697490,2022-10-29 13:47:04,
SIM000288,023935893826912,2019-07-18 15:12:35,2019-11-15 23:19:52
SIM000289,108114271981816,2018-03-15 12:23:01,
SIM000290,877667139041208,2024-11-10 03:36:27,
SIM000291,536119511071289,2018-08-14 21:49:44,
SIM000292,415844022733874,2018-06-12 23:50:35,
SIM000293,738065559068680,2019-10-06 02:37:40,
SIM000294,878132803453107,2020-04-17 08:56:19,
SIM000295,457866666045402,2021-01-25 04:14:55,
SIM000296,516862306220677,2022-10-08 22:28:03,2023-03-09 17:38:53
SIM000297,860135954596860,2024-10-23 09:29:03,
SIM000298,332032513567168,2024-10-20 07:39:22,
SIM000299,478885182225851,2024-11-13 20:53:11,
SIM000300,565888019667799,2020-07-18 23:27:56,2021-02-11 03:16:08
SIM000301,531677781829607,2022-12-22 23:30:05,2023-09-02 14:05:39
SIM000302,190367703403561,2022-12-12 11:22:37,2023-05-19 04:13:57
SIM000303,808597321305481,2023-12-09 07:53:28,2024-07-12 13:55:08
SIM000304,533483001645470,2018-04-27 17:55:37,
SIM000305,842062815162504,2022-07-27 05:17:25,2023-06-07 01:42:08
SIM000306,871425793746572,2021-02-18 22:30:43,2022-01-02 10:22:45
SIM000307,985496714138889,2021-03-06 12:43:17,
SIM000308,704066436096857,2022-04-22 23:05:43,
SIM000309,502073656798002,2024-08-29 00:45:25,
SIM000310,993783167656263,2022-03-27 00:25:13,2023-02-15 05:29:47
SIM000311,036560223597575,2019-11-13 05:53:13,2020-05-16 10:44:39
SIM000312,503579456865912,2019-03-08 10:49:07,
SIM000313,405255334988191,2023-08-17 10:41:10,
SIM000314,553628407595455,2021-05-23 12:52:18,
SIM000315,026328901314876,2023-11-13 09:53:29,2024-06-06 16:07:07
SIM000316,513659679682459,2024-03-21 10:04:46,
SIM000317,513324476564172,2024-01-22 07:48:27,
SIM000318,599338997739517,2018-09-17 02:28:03,
SIM000319,823338385766659,2024-07-21 10:47:02,
SIM000320,470717395320630,2024-04-06 08:09:28,2024-10-05 23:43:18
SIM000321,712351909681405,2024-11-02 02:35:12,
SIM000322,363015004125383,2019-07-03 06:51:00,2019-12-29 03:59:37
SIM000323,822644921324005,2018-04-23 19:09:57,
SIM000324,864715082283797,2018-04-07 23:42:07,2019-03-15 10:58:57
SIM000325,191857365505008,2019-01-14 08:38:57,
SIM000326,257327752223535,2024-12-12 11:11:56,
SIM000327,158489656161554,2019-07-06 19:28:59,2020-05-15 14:12:36
SIM000328,265533132771851,2022-09-04 04:16:22,
SIM000329,747823986350837,2019-03-04 19:15:04,2020-02-06 21:25:33
SIM000330,402366574694010,2021-05-27 06:11:23,2021-12-07 23:14:29
SIM000331,726333015453384,2019-11-05 13:24:13,2020-05-03 04:11:23
SIM000332,842265191958219,2018-11-07 05:39:23,
SIM000333,380166417833835,2019-06-30 11:40:59,
SIM000334,090231284164497,2021-02-16 11:53:14,
SIM000335,624645251588828,2023-02-06 16:38:15,
SIM000336,349547759601452,2022-05-13 12:50:56,
SIM000337,364910285895549,2020-11-27 23:56:10,
SIM000338,951149480817218,2019-07-22 16:40:55,2020-02-09 16:53:17
SIM000339,764497464245291,2022-03-29 17:40:53,2022-08-02 05:43:46
SIM000340,580880989978927,2024-10-05 07:24:15,
SIM000341,878383698566209,2018-11-13 03:38:57,
SIM000342,404597016105245,2020-08-15 19:39:28,2021-03-21 03:08:25
SIM000343,158094356057699,2021-05-30 06:43:00,
SIM000344,961762779213067,2019-08-05 05:39:21,2019-11-25 12:49:21
SIM000345,017262782900190,2018-08-17 05:58:58,2019-03-04 04:28:37
SIM000346,864811248611889,2023-05-13 16:48:30,2023-08-27 03:37:25
SIM000347,451745735136085,2023-04-18 13:46:48,2024-01-30 02:19:42
SIM000348,944865561626598,2021-09-23 00:02:34,2022-04-29 07:56:54
SIM000349,675118148287857,2024-08-15 01:14:41,
SIM000350,467335153494766,2020-06-08 22:47:02,
SIM000351,546129124991276,2023-05-18 18:38:07,2024-01-22 17:06:11
SIM000352,253918787659011,2022-09-16 18:20:46,
SIM000353,428506590512343,2024-12-28 21:42:00,
SIM000354,753150944087622,2023-03-18 05:20:29,
SIM000355,296860103631173,2018-05-18 22:51:07,
SIM000356,138278919678675,2018-04-28 05:05:46,
SIM000357,184865048397131,2018-12-24 20:32:08,2019-12-24 04:13:22
SIM000358,970046301213201,2021-06-24 17:27:39,
SIM000359,090882695598045,2019-10-12 13:25:03,2020-03-15 23:11:03
SIM000360,575430501911113,2018-12-27 08:53:38,2019-04-06 21:40:43
SIM000361,345087897079073,2021-11-29 01:25:03,
SIM000362,516809729955864,2018-06-26 18:15:07,
SIM000363,382302498509250,2022-05-07 13:40:36,2022-09-25 02:23:33
SIM000364,604898865123422,2024-12-13 18:08:38,
SIM000365,896088269025231,2022-05-28 09:02:57,2023-01-01 06:08:31
SIM000366,727505901257169,2022-05-31 21:27:35,2022-09-28 05:44:07
SIM000367,696359564914422,2019-11-23 17:15:08,2020-05-25 17:42:41
SIM000368,500441707104323,2024-03-04 20:18:42,2024-12-16 11:54:08
SIM000369,523740571900677,2021-07-06 17:11:53,2022-02-10 21:52:19
SIM000370,271503044901659,2019-01-22 06:14:08,2019-10-05 09:57:43
SIM000371,645614928786066,2023-07-25 10:10:04,2024-03-31 21:09:16
SIM000372,458574754634440,2018-06-29 07:11:51,
SIM000373,992763324177818,2020-01-22 13:47:58,
SIM000374,267474072502834,2022-03-17 02:43:49,2022-08-23 16:55:08
SIM000375,520891763330511,2023-10-28 17:35:40,
SIM000376,562070260753628,2018-04-06 07:10:27,
SIM000377,510349229448584,2018-04-27 19:35:15,
SIM000378,609835958464132,2018-02-18 11:42:43,
SIM000379,986937287063675,2020-04-06 21:54:50,
SIM000380,762048254152240,2019-07-08 06:15:06,
SIM000381,587324599608529,2022-12-08 22:17:07,
SIM000382,408690583602374,2022-06-12 22:49:38,2023-03-04 21:45:26
SIM000383,073342493690934,2023-11-27 21:53:02,
SIM000384,634542889674869,2019-12-27 04:42:47,2020-09-10 20:11:42
SIM000385,045352326930922,2021-02-04 19:05:59,2022-02-02 15:14:44
SIM000386,795047019453921,2018-10-20 17:10:26,2019-09-08 04:19:27
SIM000387,760593254053092,2018-06-07 02:04:01,
SIM000388,229145681681745,2021-01-22 00:17:03,
SIM000389,279157598682704,2018-09-11 14:46:16,2019-01-03 04:33:09
SIM000390,626603608215022,2022-10-28 00:33:50,
SIM000391,975793067702727,2020-11-25 08:05:17,2021-09-30 20:14:31
SIM000392,759113961729936,2022-04-15 08:20:05,
SIM000393,957958014076414,2020-01-04 11:05:37,2020-10-02 00:18:56
SIM000394,399029927471935,2019-10-09 22:08:41,
SIM000395,220295546167759,2021-01-22 05:08:26,2021-09-07 00:48:06
SIM000396,467189174524479,2019-02-28 08:55:00,
SIM000397,376572556985510,2020-01-26 17:12:49,
SIM000398,744447526661204,2018-01-28 04:41:59,2018-11-30 00:32:51
SIM000399,494682770321484,2024-12-25 22:28:46,
SIM000400,427233169750811,2019-04-24 14:09:35,
SIM000401,243424406372600,2023-10-24 04:44:25,2024-03-01 00:54:33
SIM000402,580349148872110,2020-06-12 21:18:37,
SIM000403,337949564002708,2020-10-15 19:37:39,2021-10-11 10:05:36
SIM000404,558210635182587,2018-01-27 03:52:57,
SIM000405,086399614064134,2022-06-21 23:33:18,
SIM000406,410254745151387,2024-04-01 08:57:23,
SIM000407,347087871205721,2020-07-05 21:26:54,2021-01-10 03:43:09
SIM000408,374255358393106,2020-05-19 07:19:14,
SIM000409,934182667160529,2023-10-02 06:21:16,2024-01-05 23:05:16
SIM000410,481155054317803,2020-04-12 05:11:41,
SIM000411,661248873629217,2019-06-29 04:57:03,2019-11-29 05:41:28
SIM000412,005550903315543,2023-10-10 19:16:44,2024-07-27 20:36:48
SIM000413,746466598549925,2020-01-18 05:43:37,
SIM000414,661151189100113,2023-06-08 22:49:37,
SIM000415,880967941097354,2021-06-21 04:13:30,
SIM000416,571481520166997,2022-06-15 23:51:27,
SIM000417,368551518051931,2018-02-16 11:47:53,
SIM000418,310964053807975,2021-10-24 11:51:24,2022-06-08 13:16:41
SIM000419,988086577299304,2022-09-12 14:25:07,2023-01-14 23:26:01
SIM000420,139482991916747,2023-08-19 09:31:54,
SIM000421,671387668880233,2019-07-13 08:47:26,2020-06-14 12:28:10
SIM000422,727581445459829,2023-05-16 21:21:09,
SIM000423,660419435241593,2019-04-21 09:55:06,2019-09-07 00:58:04
SIM000424,443812253663879,2019-05-02 03:02:55,
SIM000425,110118153483973,2018-10-29 11:09:20,2019-07-26 09:59:09
SIM000426,398157135870741,2022-12-09 00:34:34,
SIM000427,123861632795418,2021-11-27 12:59:12,
SIM000428,441419552923899,2021-11-12 00:22:36,
SIM000429,292675316248866,2018-10-19 20:35:42,
SIM000430,648681507846656,2023-10-29 04:45:50,
SIM000431,599679343484689,2018-03-14 06:26:35,
SIM000432,129248732301968,2021-03-22 06:57:45,
SIM000433,597740586247644,2019-10-24 08:30:00,2020-10-18 01:07:00
SIM000434,569454526198742,2019-04-25 04:52:54,
SIM000435,301855262120606,2018-06-22 15:08:02,2019-04-07 11:47:55
SIM000436,114611273664616,2019-08-13 03:29:39,2019-12-16 20:35:06
SIM000437,331561863772141,2022-12-05 22:08:33,
SIM000438,695077017478654,2020-03-27 11:10:49,2021-03-18 19:10:37
SIM000439,256897351160579,2022-11-24 01:57:03,2023-11-07 19:49:30
SIM000440,461809328484873,2018-08-20 13:37:13,
SIM000441,027132389478086,2024-07-19 02:44:37,
SIM000442,837383468163870,2024-03-21 05:45:27,2024-07-13 19:23:57
SIM000443,264622958733281,2024-12-18 00:34:38,
SIM000444,051403568546637,2018-11-15 09:07:38,
SIM000445,074640903344822,2024-12-18 08:44:46,
SIM000446,794102789102215,2021-11-21 12:11:03,
SIM000447,893601104199495,2018-08-23 02:36:32,
SIM000448,863359507848473,2022-01-11 02:50:51,
SIM000449,389054289522643,2020-06-03 08:55:20,2021-05-18 09:48:57
SIM000450,409083667175464,2019-05-15 04:56:07,
