IMEI_no,Device_brand,Device_type,Device_model,Device_status,Registration_date
460467289895349,Realme,smartphone,Realme GT 5,active,2021-10-15 05:21:10
779671555550736,Oppo,smartphone,Oppo A77,active,2020-01-25 00:27:58
638327885107508,OnePlus,smartphone,OnePlus Open,active,2019-03-13 14:15:30
498115992507950,Oppo,smartphone,Oppo Reno 8,blocked,2019-03-31 18:47:04
426220189914533,Motorola,smartphone,Moto E13,active,2018-06-08 15:43:58
725518720569370,OnePlus,smartphone,OnePlus 11R,active,2020-06-08 13:08:00
583840979317805,Samsung,smartphone,Galaxy Note 20,active,2024-10-01 04:03:20
358789898452571,Motorola,smartphone,Moto Edge 30 Pro,active,2019-09-04 06:48:01
869445947069993,Motorola,smartphone,Moto G84,active,2024-04-12 03:16:35
268373251569326,Vivo,smartphone,Vivo V27,active,2024-01-24 22:49:08
379055199632785,Samsung,smartphone,Galaxy S21 FE,active,2019-04-13 14:00:13
562706078722759,Apple,smartphone,iPhone 11,active,2024-05-23 00:00:02
280036536672177,Apple,smartphone,iPhone 14,inactive,2019-09-09 10:17:45
923718806305464,Oppo,smartphone,Oppo A96,active,2019-04-01 05:26:08
253215663097906,Xiaomi,smartphone,Poco F5,active,2023-08-01 21:44:50
658418794941779,Xiaomi,smartphone,Mi 11X,active,2018-05-31 21:39:36
333068737444078,Vivo,smartphone,Vivo T2 Pro,active,2024-10-20 17:43:56
455378044769679,Samsung,smartphone,Galaxy S22,active,2020-05-07 05:55:46
020265879085628,Oppo,smartphone,Oppo Find X6,inactive,2023-01-13 10:29:53
020149358591935,Samsung,smartphone,Galaxy A14,active,2024-06-18 02:58:58
360852623697479,Oppo,smartphone,Oppo Reno 8,blocked,2018-02-13 22:53:17
132220432161513,Samsung,smartphone,Galaxy A54,active,2018-12-27 10:41:38
375846509201975,Samsung,smartphone,Galaxy M54,active,2020-10-09 17:44:34
836456191658482,Vivo,smartphone,Vivo Y56,active,2022-05-25 19:23:25
887553783606741,Samsung,smartphone,Galaxy M54,active,2022-06-30 23:48:29
302276600642008,Apple,smartphone,iPhone 11,active,2022-06-04 17:00:09
660638328702301,Apple,smartphone,iPhone 13,active,2018-02-23 20:25:23
410544135465168,Vivo,smartphone,Vivo T2,active,2018-02-27 07:05:56
078904803855916,Samsung,smartphone,Galaxy A73,lost,2023-02-14 03:41:38
652810988417804,Vivo,smartphone,Vivo V25 Pro,active,2018-08-23 11:14:51
543711792152427,Apple,smartphone,iPhone 13 Mini,active,2023-11-14 14:44:43
285080182387492,Motorola,smartphone,Moto G62,inactive,2022-01-12 14:43:47
962076926331426,Xiaomi,smartphone,Mi 11X,active,2022-05-16 23:57:22
357392577724440,Motorola,smartphone,Moto G32,active,2024-03-05 01:47:52
866901859296523,Motorola,smartphone,Moto Edge 40,active,2020-04-13 03:57:33
744251061096104,Samsung,smartphone,Galaxy M54,active,2019-11-19 11:46:10
850204468131968,Xiaomi,smartphone,Poco M5,active,2020-08-17 17:04:55
954703048603534,Apple,smartphone,iPhone 11,active,2022-07-09 09:44:06
875646339877007,Google,smartphone,Pixel 8 Pro,active,2021-11-30 03:52:53
691102601891545,Vivo,smartphone,Vivo Y56,lost,2024-02-07 11:07:52
289348208753730,Realme,smartphone,Realme GT Neo 5,active,2021-01-26 17:20:20
394424259522382,Samsung,smartphone,Galaxy A34,active,2022-10-22 04:59:48
636489730534749,Samsung,smartphone,Galaxy M54,active,2024-04-09 00:50:03
725501055187602,Vivo,smartphone,Vivo Y22,active,2018-12-29 17:36:00
952552478354111,Samsung,smartphone,Galaxy F54,inactive,2022-07-10 07:11:31
641634034237697,Google,smartphone,Pixel 7,active,2018-01-09 01:24:01
602944362231249,Samsung,smartphone,Galaxy F54,active,2018-08-23 20:50:29
003039079881686,Apple,smartphone,iPhone SE 2022,active,2019-10-14 01:23:14
957477583534924,Xiaomi,smartphone,Redmi 9,lost,2022-08-15 08:18:00
072371818887682,Samsung,smartphone,Galaxy A54,blocked,2020-12-11 16:30:06
742634395121036,Oppo,smartphone,Oppo F23,active,2022-09-16 06:58:32
809362362733120,Xiaomi,smartphone,Poco M5,active,2018-01-14 06:39:34
367474940426361,Oppo,smartphone,Oppo A17,inactive,2020-12-20 01:13:36
329998498971767,Google,smartphone,Pixel Fold,active,2023-10-08 06:02:38
199175504686163,Apple,smartphone,iPhone 15 Pro,active,2020-05-13 04:06:12
239875508022235,Samsung,smartphone,Galaxy A14,active,2024-09-11 19:31:29
776401985401034,Realme,smartphone,Realme C33,inactive,2024-07-15 01:35:32
207739276035647,Apple,smartphone,iPhone 14,active,2023-08-08 07:17:20
991866807648303,Samsung,smartphone,Galaxy S22,active,2018-03-23 00:18:36
515075462509648,Apple,smartphone,iPhone 14,active,2022-05-29 14:24:10
158843043179146,Oppo,smartphone,Oppo A58,active,2019-10-17 21:58:56
925827333440397,OnePlus,smartphone,OnePlus Open,active,2023-01-29 11:56:06
531613417483318,Samsung,smartphone,Galaxy A34,active,2022-04-21 10:36:37
004023177711662,Motorola,smartphone,Moto E13,active,2020-05-23 08:15:35
691363238980212,Xiaomi,smartphone,Mi 11X,active,2023-01-08 16:16:45
921201633454174,Oppo,smartphone,Oppo F23,active,2019-02-03 02:08:59
551274334795325,Apple,smartphone,iPhone 15 Pro,active,2022-07-21 09:01:12
099041579478027,Motorola,smartphone,Moto G84,active,2019-03-27 14:24:04
824364588115349,Vivo,smartphone,Vivo T2 Pro,active,2023-03-04 22:35:10
518292537671338,Oppo,smartphone,Oppo Find X6,active,2018-01-04 06:48:44
738685610209958,Xiaomi,smartphone,Redmi 10,inactive,2021-12-23 18:45:16
042077320860010,Oppo,smartphone,Oppo Find X6,active,2023-09-04 16:10:12
550814217224322,Oppo,smartphone,Oppo Reno 8,active,2021-02-25 17:31:48
035761293647452,Xiaomi,smartphone,Poco M5,active,2023-10-18 23:55:56
539705242968646,Apple,smartphone,iPhone 13,inactive,2023-10-03 07:31:22
494275674922698,Xiaomi,smartphone,Redmi 10,active,2018-11-21 00:49:53
170244768701822,Samsung,smartphone,Galaxy Note 20,active,2024-02-01 18:17:50
482917348673136,Xiaomi,smartphone,Poco F5,active,2023-02-18 02:01:44
079367314529437,Apple,smartphone,iPhone 14,active,2018-10-04 14:51:33
274018713800403,Vivo,smartphone,Vivo V27,active,2022-11-21 13:31:02
797711674107933,Oppo,smartphone,Oppo A17,inactive,2019-10-25 00:36:27
880187796341270,Xiaomi,smartphone,Poco C55,active,2024-10-25 02:27:44
989240082780222,Vivo,smartphone,Vivo V29,inactive,2022-04-28 20:40:02
439416293096601,OnePlus,smartphone,OnePlus Nord 2T,active,2022-10-20 06:35:44
786188480450463,Oppo,smartphone,Oppo F23,active,2022-04-09 22:20:31
495031858281453,Apple,smartphone,iPhone 11,active,2019-08-25 22:47:24
266679176345802,Apple,smartphone,iPhone 13 Mini,active,2023-05-21 22:39:50
028251454918365,Apple,smartphone,iPhone SE 2022,active,2018-06-21 13:40:20
817936353990341,Motorola,smartphone,Moto G54,inactive,2018-12-10 04:37:52
223633397582205,Oppo,smartphone,Oppo Reno 10,active,2018-08-25 18:57:12
307585213477345,Apple,smartphone,iPhone 13,active,2024-05-15 10:17:18
368042433208040,Samsung,smartphone,Galaxy M54,active,2021-07-08 18:32:38
900922766204373,Apple,smartphone,iPhone XR,active,2018-11-07 02:47:49
989903964505991,Samsung,smartphone,Galaxy A54,active,2018-11-21 02:32:54
254081988644815,Apple,smartphone,iPhone XR,active,2020-08-13 02:49:48
932344963667645,Xiaomi,smartphone,Redmi Note 13,active,2021-03-25 18:43:33
813687213038494,Vivo,smartphone,Vivo X90,active,2022-06-05 03:25:09
829588399587367,Apple,smartphone,iPhone 11,active,2019-01-12 04:04:15
191660455095572,Samsung,smartphone,Galaxy Note 20,active,2022-05-30 19:42:38
641667467816046,Samsung,smartphone,Galaxy S23,active,2022-07-24 11:46:33
654734196925915,Xiaomi,smartphone,Redmi 9,inactive,2022-05-13 00:04:56
752702172822144,Vivo,smartphone,Vivo V29,active,2020-04-25 17:48:25
469745118232203,Realme,smartphone,Realme C55,inactive,2022-09-21 09:20:13
258045278348497,Apple,smartphone,iPhone 14 Pro,active,2024-02-29 06:08:23
806125319694719,Apple,smartphone,iPhone 13 Mini,lost,2024-07-12 09:09:18
150163457054058,Apple,smartphone,iPhone 12,active,2022-08-08 14:59:38
200681584122277,Oppo,smartphone,Oppo Find X6,active,2020-04-11 02:07:59
982094392246305,Vivo,smartphone,Vivo V27,active,2023-06-29 00:20:53
296607072009742,Xiaomi,smartphone,Redmi 10,active,2018-05-28 00:00:31
427748747806996,Xiaomi,smartphone,Redmi Note 12,inactive,2019-07-03 19:50:10
603308048329450,Vivo,smartphone,Vivo X90,active,2021-09-04 21:06:22
037999250095967,Vivo,smartphone,Vivo T1 Pro,active,2023-03-12 01:18:51
678277708568797,Motorola,smartphone,Moto G73,active,2019-10-06 00:18:53
956056834702820,Xiaomi,smartphone,Redmi Note 13,active,2022-12-16 21:54:05
473893476011366,Oppo,smartphone,Oppo Find X6,lost,2024-06-11 22:54:33
646264130112966,Samsung,smartphone,Galaxy A54,active,2020-06-22 22:11:54
268712103287776,Motorola,smartphone,Moto G84,active,2019-02-03 06:57:10
779519914976862,Xiaomi,smartphone,Poco F5,active,2022-02-05 22:35:55
725728472368457,Samsung,smartphone,Galaxy A34,active,2021-05-04 15:42:17
501229995488601,Motorola,smartphone,Moto Edge 30 Pro,active,2020-01-29 02:31:18
979773203878704,Apple,smartphone,iPhone SE 2022,inactive,2018-09-22 10:25:14
639754407430910,Samsung,smartphone,Galaxy S21 FE,active,2022-12-21 09:11:12
767226422464846,Vivo,smartphone,Vivo V29,active,2022-08-01 14:04:26
766625870791180,Xiaomi,smartphone,Poco F5,active,2021-02-27 07:58:40
732553813699564,Xiaomi,smartphone,Redmi 12,active,2024-12-25 19:14:11
810031326251260,Oppo,smartphone,Oppo A96,active,2020-12-31 21:49:40
710561782233819,Xiaomi,smartphone,Poco X5,active,2023-08-13 10:21:59
026349126792652,Apple,smartphone,iPhone 14,active,2019-07-13 23:53:21
705004704360449,Oppo,smartphone,Oppo Find X6,active,2019-08-09 07:20:17
008798119679141,Samsung,smartphone,Galaxy A54,blocked,2018-10-25 01:45:54
308464826573396,Samsung,smartphone,Galaxy Note 20,active,2024-09-03 05:40:33
383461076803662,Google,smartphone,Pixel 6a,blocked,2024-11-01 15:33:26
263673169205300,OnePlus,smartphone,OnePlus Nord 2T,inactive,2023-01-14 15:07:03
110822492580787,Motorola,smartphone,Moto G52,blocked,2024-02-29 15:07:35
101277330778879,Apple,smartphone,iPhone XR,active,2019-10-23 14:28:06
054891960378375,Google,smartphone,Pixel 8,active,2018-09-27 01:28:46
432152964797238,Xiaomi,smartphone,Redmi 10,active,2023-02-13 09:44:45
699613337808534,Xiaomi,smartphone,Redmi 12,active,2023-12-25 07:13:50
565587302652610,Realme,smartphone,Realme GT 5,active,2018-12-23 06:07:06
294665301653178,OnePlus,smartphone,OnePlus Nord CE2 Lite,active,2020-02-15 16:53:05
117164278699734,Samsung,smartphone,Galaxy A73,active,2023-06-06 20:41:19
082802874781966,Samsung,smartphone,Galaxy S22,active,2019-10-23 21:05:35
270616873696889,Samsung,smartphone,Galaxy A14,active,2018-09-11 19:23:00
692647460869955,Samsung,smartphone,Galaxy S22,active,2024-09-26 20:47:12
727666652365849,Oppo,smartphone,Oppo A77,active,2019-03-08 09:06:46
827257369658206,Motorola,smartphone,Moto Edge 40,blocked,2023-12-18 22:07:16
285634364647395,Xiaomi,smartphone,Redmi 10,active,2022-09-06 01:16:30
795890898464102,Xiaomi,smartphone,Redmi 9,active,2022-05-24 03:53:50
875230727242192,Samsung,smartphone,Galaxy S21 FE,active,2021-10-25 07:49:12
511905898922497,Vivo,smartphone,Vivo V27,active,2022-10-10 03:42:41
621761003423130,Xiaomi,smartphone,Poco X5,active,2021-08-26 11:38:15
100281989154578,Realme,smartphone,Realme GT 5,active,2022-01-09 10:57:42
948586881926667,Samsung,smartphone,Galaxy S22,active,2018-02-10 05:25:13
700657576608024,Oppo,smartphone,Oppo Find X6,active,2022-08-26 19:03:14
352316228346601,Oppo,smartphone,Oppo A77,active,2024-05-12 13:43:05
032991237927413,Oppo,smartphone,Oppo Reno 8,active,2024-04-25 19:21:29
120189556956601,Samsung,smartphone,Galaxy S21 FE,active,2022-06-02 01:55:10
667162121411515,Apple,smartphone,iPhone SE 2022,active,2018-07-14 03:38:48
520764225619054,OnePlus,smartphone,OnePlus 11R,lost,2023-06-02 05:36:32
107460330776250,Xiaomi,smartphone,Redmi Note 12,active,2021-07-13 21:09:58
304688357179576,Samsung,smartphone,Galaxy Note 20,inactive,2018-01-15 10:27:03
345414246059277,Samsung,smartphone,Galaxy M54,active,2021-01-09 10:45:31
976387188390194,OnePlus,smartphone,OnePlus Open,blocked,2023-10-19 10:38:50
128288738202398,Xiaomi,smartphone,Poco F5,active,2023-12-13 13:35:15
965905056338942,Samsung,smartphone,Galaxy A73,active,2023-09-17 21:53:33
402104214494352,Samsung,smartphone,Galaxy Note 20,active,2021-12-26 02:51:27
096167324915194,Realme,smartphone,Realme Narzo 60,active,2024-10-22 14:04:20
089773417900988,Samsung,smartphone,Galaxy S23,blocked,2020-07-25 17:08:02
777389779485962,Samsung,smartphone,Galaxy Note 20,active,2020-05-08 14:48:03
179936908013260,Samsung,smartphone,Galaxy Note 20,active,2018-04-24 22:06:23
436807862357600,Apple,smartphone,iPhone 11,lost,2021-02-21 14:12:16
431077471488820,Vivo,smartphone,Vivo Y22,active,2023-02-15 15:23:37
629035509390824,OnePlus,smartphone,OnePlus 11R,active,2018-11-18 19:44:00
438405150504016,Samsung,smartphone,Galaxy F54,active,2022-08-20 06:19:50
179219014182359,Samsung,smartphone,Galaxy A54,inactive,2020-11-16 08:29:51
206747439868547,Xiaomi,smartphone,Redmi 12,active,2024-05-06 07:59:48
671382070227792,Xiaomi,smartphone,Poco X5,active,2021-07-24 13:50:41
666340951906925,Xiaomi,smartphone,Redmi 10,active,2019-05-07 12:01:18
538857099727597,OnePlus,smartphone,OnePlus Nord CE2 Lite,active,2020-07-13 00:57:29
663538122231982,Xiaomi,smartphone,Mi 11X,active,2018-01-04 10:31:13
167296821780247,Motorola,smartphone,Moto G42,active,2024-08-12 09:59:40
470545746009569,Apple,smartphone,iPhone SE 2022,active,2019-12-06 03:07:44
054536520230303,Samsung,smartphone,Galaxy S21 FE,lost,2019-08-15 23:17:32
870866563844300,Xiaomi,smartphone,Poco X5,active,2024-06-15 23:48:15
512195514202531,Realme,smartphone,Realme 11 Pro,active,2020-09-21 06:47:09
896800870575040,Oppo,smartphone,Oppo Reno 8,active,2019-02-25 22:43:59
014037619509109,Xiaomi,smartphone,Mi 11X,active,2022-09-27 11:42:56
453983534168570,Realme,smartphone,Realme Narzo 50,blocked,2020-01-15 06:32:19
104141602861332,Xiaomi,smartphone,Poco C55,active,2021-05-21 09:48:56
650274206839494,Samsung,smartphone,Galaxy F54,active,2020-12-14 13:49:54
526506800632182,Samsung,smartphone,Galaxy A73,lost,2018-03-26 12:55:55
784411420181940,Samsung,smartphone,Galaxy A73,active,2019-01-18 04:26:49
930457241568064,Samsung,smartphone,Galaxy A54,active,2019-02-22 11:31:47
974984189625770,Google,smartphone,Pixel 8 Pro,active,2024-07-07 22:36:06
864839434404839,Xiaomi,smartphone,Redmi Note 12,active,2024-03-16 16:22:10
559809598589108,Samsung,smartphone,Galaxy S22,active,2018-11-16 07:29:42
775765519524222,Samsung,smartphone,Galaxy F54,lost,2020-01-18 04:26:20
493143381873487,Samsung,smartphone,Galaxy F54,active,2021-09-12 05:46:32
607914551256448,Xiaomi,smartphone,Poco F5,active,2023-04-12 18:24:31
912162280556907,Vivo,smartphone,Vivo T2 Pro,active,2018-12-31 11:03:54
903402615413559,Samsung,smartphone,Galaxy S22,active,2021-06-12 18:49:39
689241629087056,OnePlus,smartphone,OnePlus Nord CE2 Lite,active,2019-03-11 10:22:48
335656162528008,Vivo,smartphone,Vivo T1 Pro,active,2022-09-17 04:06:38
824399424895654,Xiaomi,smartphone,Redmi 9,active,2018-01-19 19:02:46
916339750697490,Xiaomi,smartphone,Poco C55,active,2022-03-22 03:04:40
023935893826912,Samsung,smartphone,Galaxy A14,active,2021-11-03 18:16:32
108114271981816,Realme,smartphone,Realme C55,lost,2019-01-19 13:39:07
877667139041208,Realme,smartphone,Realme C33,blocked,2019-05-26 06:58:52
536119511071289,Vivo,smartphone,Vivo X90,active,2024-08-19 03:26:39
415844022733874,OnePlus,smartphone,OnePlus Nord CE 3,active,2019-01-26 12:57:18
738065559068680,Motorola,smartphone,Moto G62,active,2022-01-05 01:19:43
878132803453107,Samsung,smartphone,Galaxy S22,active,2020-11-16 17:49:13
457866666045402,Xiaomi,smartphone,Poco C55,active,2018-06-01 10:38:46
516862306220677,OnePlus,smartphone,OnePlus 11R,active,2019-10-14 21:16:48
860135954596860,Xiaomi,smartphone,Mi 11X,blocked,2023-02-13 06:59:19
332032513567168,Xiaomi,smartphone,Redmi Note 12,active,2020-01-29 14:06:01
478885182225851,Apple,smartphone,iPhone 13 Mini,active,2024-04-23 00:15:17
565888019667799,OnePlus,smartphone,OnePlus 10 Pro,active,2020-09-08 19:13:46
531677781829607,Xiaomi,smartphone,Poco C55,active,2020-02-01 03:33:40
190367703403561,Vivo,smartphone,Vivo T2 Pro,active,2021-10-08 18:58:21
808597321305481,Xiaomi,smartphone,Redmi Note 12,active,2019-08-15 09:51:09
533483001645470,Oppo,smartphone,Oppo A96,active,2021-09-19 02:00:18
842062815162504,OnePlus,smartphone,OnePlus Nord CE2 Lite,active,2023-09-10 10:57:51
871425793746572,Realme,smartphone,Realme C33,active,2021-11-28 08:40:09
985496714138889,OnePlus,smartphone,OnePlus Nord CE 3,active,2024-09-20 11:33:46
704066436096857,OnePlus,smartphone,OnePlus 11R,active,2018-11-10 06:34:56
502073656798002,Oppo,smartphone,Oppo A96,active,2022-04-27 20:35:12
993783167656263,Samsung,smartphone,Galaxy A34,active,2019-07-15 13:26:38
036560223597575,Xiaomi,smartphone,Redmi 12,active,2024-05-01 11:42:47
503579456865912,Samsung,smartphone,Galaxy S21 FE,active,2020-06-29 20:50:57
405255334988191,Xiaomi,smartphone,Poco F5,active,2018-12-22 05:49:49
553628407595455,Samsung,smartphone,Galaxy A14,inactive,2021-02-28 01:54:11
026328901314876,Motorola,smartphone,Moto G73,active,2020-08-03 12:35:51
513659679682459,Samsung,smartphone,Galaxy A54,active,2023-06-05 22:58:04
513324476564172,Apple,smartphone,iPhone 14,active,2020-04-29 16:34:41
599338997739517,Oppo,smartphone,Oppo A77,active,2018-03-07 02:21:27
823338385766659,Vivo,smartphone,Vivo T2,active,2018-07-03 02:37:54
470717395320630,Xiaomi,smartphone,Mi 11X,active,2019-07-27 16:37:44
712351909681405,Realme,smartphone,Realme C55,active,2023-03-13 20:22:11
363015004125383,Google,smartphone,Pixel 8 Pro,active,2019-07-19 20:04:28
822644921324005,Oppo,smartphone,Oppo A77,active,2022-03-07 16:01:54
864715082283797,Samsung,smartphone,Galaxy A34,active,2021-02-06 14:36:37
191857365505008,Vivo,smartphone,Vivo Y56,active,2018-05-20 03:01:56
257327752223535,Vivo,smartphone,Vivo V29,active,2024-04-21 11:33:31
158489656161554,Xiaomi,smartphone,Poco M5,active,2022-03-17 14:10:04
265533132771851,OnePlus,smartphone,OnePlus Nord 2T,active,2021-06-18 20:15:03
747823986350837,Xiaomi,smartphone,Poco X5,active,2021-12-11 03:50:22
402366574694010,Samsung,smartphone,Galaxy F54,active,2019-01-28 04:37:11
726333015453384,Realme,smartphone,Realme 11 Pro,active,2023-11-06 16:32:28
842265191958219,Apple,smartphone,iPhone 14,blocked,2021-10-15 02:45:55
380166417833835,Vivo,smartphone,Vivo T2,inactive,2023-11-18 00:06:25
090231284164497,Apple,smartphone,iPhone 14 Pro,lost,2024-05-13 04:59:00
624645251588828,Apple,smartphone,iPhone 11,active,2018-07-16 17:27:44
349547759601452,Realme,smartphone,Realme C30,active,2021-06-13 16:17:53
364910285895549,Samsung,smartphone,Galaxy A54,active,2022-01-24 09:57:04
951149480817218,Samsung,smartphone,Galaxy A34,active,2019-01-07 20:07:28
764497464245291,OnePlus,smartphone,OnePlus Nord CE 3,lost,2019-03-31 13:16:24
580880989978927,Apple,smartphone,iPhone 12,active,2024-09-02 08:05:17
878383698566209,OnePlus,smartphone,OnePlus Open,active,2020-07-12 04:30:14
404597016105245,Samsung,smartphone,Galaxy S23,active,2020-08-14 14:10:54
158094356057699,Vivo,smartphone,Vivo Y22,active,2022-08-07 15:09:25
961762779213067,Apple,smartphone,iPhone 15 Pro,inactive,2022-08-28 18:27:20
017262782900190,Apple,smartphone,iPhone XR,active,2018-10-18 06:46:01
864811248611889,Samsung,smartphone,Galaxy A73,active,2023-08-01 15:51:57
451745735136085,Samsung,smartphone,Galaxy S22,active,2024-11-30 05:07:29
944865561626598,Apple,smartphone,iPhone XR,active,2018-11-26 18:04:53
675118148287857,Motorola,smartphone,Moto G32,active,2020-02-17 11:11:51
467335153494766,Motorola,smartphone,Moto G52,active,2020-08-01 11:48:02
546129124991276,Xiaomi,smartphone,Redmi 10,active,2022-01-08 13:42:44
