Port_id,Sim_id,request_date,completion_date,new_operator,Reason
PORT000036,SIM025442,2024-11-14 15:10:10,2024-11-21 14:34:29,Tata Docomo,Attractive offers from new operator
PORT000037,SIM040552,2022-07-13 00:30:24,2022-07-16 12:15:52,Airtel,Poor signal strength
PORT000038,SIM031707,2021-10-03 16:22:45,2021-10-10 04:27:11,Tata Docomo,Lower tariff plans
PORT000039,SIM031098,2019-12-22 17:50:59,,Jio,Poor signal strength
PORT000040,SIM066064,2021-03-31 07:04:24,,Reliance,Better data speed
PORT000041,SIM041748,2021-07-07 05:00:48,2021-07-10 09:36:04,Jio,Poor signal strength
PORT000042,SIM023249,2022-11-30 17:37:43,2022-12-04 10:21:45,MTNL,Relocation to another city
PORT000043,SIM049533,2020-10-28 02:27:20,2020-10-30 09:40:36,Vi,Relocation to another city
PORT000044,SIM031910,2023-06-26 19:34:25,2023-07-01 00:18:11,Aircel,Lower tariff plans
PORT000045,SIM025704,2022-09-30 21:54:59,,Idea,Better network coverage
PORT000046,SIM011769,2022-06-18 19:10:03,2022-06-24 06:06:35,Aircel,Relocation to another city
PORT000047,SIM037133,2020-09-24 12:06:47,2020-09-30 09:18:13,BSNL,Relocation to another city
PORT000048,SIM008312,2022-02-01 14:27:13,2022-02-08 00:07:00,Idea,Better data speed
PORT000049,SIM006360,2024-12-12 22:11:51,2024-12-16 18:19:03,Vi,Lower tariff plans
PORT000050,SIM067112,2019-07-17 17:29:12,2019-07-23 21:55:50,Idea,Better customer service
PORT000051,SIM032493,2021-12-18 08:54:42,2021-12-23 14:11:11,Aircel,Relocation to another city
PORT000052,SIM061989,2024-12-25 02:28:25,2024-12-28 05:49:15,Idea,Friend recommendation
PORT000053,SIM015873,2024-02-03 08:37:29,2024-02-09 22:48:18,Reliance,Better data speed
PORT000054,SIM049664,2020-04-07 20:42:18,2020-04-11 17:14:32,Reliance,Better data speed
PORT000055,SIM008144,2021-07-28 19:43:17,2021-07-30 21:46:36,MTNL,Attractive offers from new operator
PORT000056,SIM015501,2024-12-25 21:59:23,2024-12-27 16:39:03,Aircel,Poor signal strength
PORT000057,SIM022307,2021-08-26 14:19:04,2021-09-02 09:30:50,Reliance,Network quality issues
PORT000058,SIM021624,2022-01-12 21:21:59,2022-01-18 21:18:34,Aircel,Friend recommendation
PORT000059,SIM057826,2021-08-03 17:55:45,2021-08-08 16:11:45,Tata Docomo,Attractive offers from new operator
PORT000060,SIM025474,2024-05-23 19:31:28,2024-05-25 01:01:12,MTNL,Poor signal strength
PORT000061,SIM046769,2023-02-03 05:47:42,2023-02-04 15:35:51,Aircel,Relocation to another city
PORT000062,SIM027283,2024-12-24 02:59:15,2024-12-30 06:25:23,Airtel,Attractive offers from new operator
PORT000063,SIM040348,2024-12-30 16:06:02,,Aircel,Lower tariff plans
PORT000064,SIM063432,2022-11-09 10:12:42,2022-11-10 14:09:06,Idea,Friend recommendation
PORT000065,SIM034662,2020-06-10 06:47:01,2020-06-13 00:55:06,Vi,Lower tariff plans
PORT000066,SIM063121,2019-08-09 21:55:11,2019-08-16 19:20:46,Jio,Better network coverage
PORT000067,SIM028001,2019-06-21 01:12:25,,Aircel,Better data speed
PORT000068,SIM008641,2024-01-16 07:29:22,2024-01-21 13:58:48,Airtel,Attractive offers from new operator
PORT000069,SIM069295,2024-07-06 02:13:44,2024-07-10 15:20:23,Idea,Poor signal strength
PORT000070,SIM035405,2023-12-17 00:01:32,2023-12-23 00:54:36,Tata Docomo,Poor signal strength
PORT000071,SIM020656,2022-05-30 01:34:30,2022-06-01 01:26:42,MTNL,Better network coverage
PORT000072,SIM056953,2021-10-10 15:21:49,2021-10-15 10:20:20,Reliance,Lower tariff plans
PORT000073,SIM014355,2023-06-26 10:58:20,2023-06-29 08:58:27,Vi,Attractive offers from new operator
PORT000074,SIM045446,2022-04-24 01:15:29,2022-04-29 19:52:44,MTNL,Poor signal strength
PORT000075,SIM002056,2024-03-15 20:57:47,2024-03-21 14:17:21,Tata Docomo,Better network coverage
PORT000076,SIM039402,2022-03-05 15:28:02,2022-03-11 13:24:01,Jio,Network quality issues
PORT000077,SIM050454,2019-01-27 18:03:47,2019-01-28 23:48:23,Tata Docomo,Better network coverage
PORT000078,SIM010630,2018-12-20 12:49:54,2018-12-25 19:10:45,Idea,Attractive offers from new operator
PORT000079,SIM059212,2019-07-12 11:01:23,2019-07-17 23:20:08,Tata Docomo,Better customer service
PORT000080,SIM066626,2021-09-11 04:48:47,2021-09-16 15:11:38,Vi,Attractive offers from new operator
PORT000081,SIM059572,2024-12-28 17:54:53,2024-12-30 01:45:39,Aircel,Poor signal strength
PORT000082,SIM020461,2024-12-29 11:52:29,,Airtel,Poor signal strength
PORT000083,SIM025774,2024-12-24 22:34:17,2024-12-28 10:42:50,BSNL,Attractive offers from new operator
PORT000084,SIM056360,2024-10-25 23:02:58,2024-10-29 08:16:42,Vi,Better network coverage
PORT000085,SIM052115,2021-10-28 11:13:09,,Reliance,Better network coverage
PORT000086,SIM050133,2023-12-22 12:18:28,2023-12-25 16:58:37,Tata Docomo,Better network coverage
PORT000087,SIM029013,2019-09-03 17:25:52,2019-09-09 17:14:42,Idea,Relocation to another city
PORT000088,SIM030839,2021-07-25 03:28:43,2021-07-28 17:46:49,Jio,Better data speed
PORT000089,SIM019537,2024-11-19 09:44:23,2024-11-23 18:56:28,Aircel,Lower tariff plans
PORT000090,SIM062930,2020-11-14 18:54:36,2020-11-18 07:41:06,Airtel,Attractive offers from new operator
PORT000091,SIM013916,2022-11-04 12:07:19,2022-11-05 15:25:13,Jio,Attractive offers from new operator
PORT000092,SIM030828,2020-08-03 11:50:06,,Airtel,Poor signal strength
PORT000093,SIM023812,2023-08-03 22:30:55,2023-08-06 02:54:45,BSNL,Relocation to another city
PORT000094,SIM000992,2019-01-05 09:14:53,2019-01-10 20:12:56,BSNL,Friend recommendation
PORT000095,SIM048014,2021-01-08 20:34:50,2021-01-13 23:16:45,Tata Docomo,Better customer service
PORT000096,SIM022724,2021-06-04 01:09:43,2021-06-10 16:02:30,Jio,Poor signal strength
PORT000097,SIM016780,2018-12-02 12:35:22,2018-12-06 21:40:21,MTNL,Better data speed
PORT000098,SIM059853,2020-02-16 00:36:53,2020-02-20 23:40:18,Reliance,Friend recommendation
PORT000099,SIM065941,2022-03-24 18:24:49,2022-03-29 03:25:33,BSNL,Network quality issues
PORT000100,SIM002657,2024-07-22 06:03:37,2024-07-26 00:03:27,Airtel,Better data speed
PORT000101,SIM048704,2019-11-21 10:18:08,,Vi,Better network coverage
PORT000102,SIM063188,2021-05-03 16:59:23,2021-05-09 17:10:03,Aircel,Better data speed
PORT000103,SIM018939,2021-10-11 18:13:35,2021-10-15 20:26:10,BSNL,Better network coverage
PORT000104,SIM058281,2021-11-21 07:09:03,2021-11-24 23:33:49,Airtel,Poor signal strength
PORT000105,SIM066409,2020-07-23 13:31:48,,Idea,Network quality issues
PORT000106,SIM043906,2020-01-10 02:59:00,2020-01-12 16:20:10,Idea,Better customer service
PORT000107,SIM029670,2024-06-05 16:55:04,2024-06-10 09:06:31,Reliance,Better network coverage
PORT000108,SIM024221,2020-11-09 19:39:23,2020-11-15 02:42:00,Aircel,Lower tariff plans
PORT000109,SIM040327,2020-08-16 16:01:30,2020-08-23 04:33:57,Vi,Attractive offers from new operator
PORT000110,SIM050984,2024-10-20 20:19:40,,Reliance,Better customer service
PORT000111,SIM037414,2019-12-05 04:39:52,2019-12-06 20:49:32,Tata Docomo,Better network coverage
PORT000112,SIM032741,2018-09-21 04:03:23,2018-09-24 00:43:45,Idea,Better customer service
PORT000113,SIM064514,2022-02-11 09:49:14,,Tata Docomo,Poor signal strength
PORT000114,SIM010665,2024-12-28 17:40:33,,Jio,Lower tariff plans
PORT000115,SIM017569,2023-10-17 09:05:32,,MTNL,Poor signal strength
PORT000116,SIM034257,2022-06-05 05:05:08,2022-06-12 03:11:21,BSNL,Better data speed
PORT000117,SIM054373,2022-01-03 21:14:11,2022-01-05 05:13:58,Idea,Lower tariff plans
PORT000118,SIM016911,2024-10-10 00:18:52,2024-10-12 05:00:16,Vi,Poor signal strength
PORT000119,SIM037632,2024-03-18 09:16:39,,Tata Docomo,Relocation to another city
PORT000120,SIM031989,2024-06-25 07:47:26,2024-06-30 17:32:43,Vi,Better data speed
PORT000121,SIM052859,2024-12-26 18:19:04,,Airtel,Attractive offers from new operator
PORT000122,SIM051999,2024-12-27 07:28:34,,Vi,Poor signal strength
PORT000123,SIM033367,2020-08-01 18:45:30,2020-08-03 20:21:58,Vi,Network quality issues
PORT000124,SIM024288,2024-12-25 16:01:24,,Jio,Poor signal strength
PORT000125,SIM009188,2021-07-06 03:13:26,,Tata Docomo,Lower tariff plans
PORT000126,SIM019584,2020-10-18 21:32:54,2020-10-21 05:17:57,Idea,Poor signal strength
PORT000127,SIM024717,2020-02-29 17:44:37,2020-03-02 02:36:24,BSNL,Relocation to another city
PORT000128,SIM058227,2024-12-29 10:44:31,,BSNL,Lower tariff plans
PORT000129,SIM045215,2024-08-14 06:09:47,2024-08-19 06:44:48,Reliance,Relocation to another city
PORT000130,SIM050841,2022-12-31 05:29:53,2023-01-03 23:03:13,Aircel,Network quality issues
PORT000131,SIM040086,2024-03-19 01:07:51,2024-03-20 09:16:08,Reliance,Friend recommendation
PORT000132,SIM025695,2021-04-04 17:44:00,,MTNL,Better network coverage
PORT000133,SIM049782,2024-12-27 23:59:44,2024-12-30 16:32:40,Vi,Better data speed
PORT000134,SIM032714,2022-09-06 03:54:59,2022-09-08 14:11:58,Reliance,Relocation to another city
PORT000135,SIM061265,2024-09-24 09:13:45,2024-09-30 23:52:55,Reliance,Lower tariff plans
PORT000136,SIM067929,2021-08-29 03:53:30,2021-09-01 15:03:24,Vi,Better data speed
PORT000137,SIM022416,2021-06-21 19:38:21,2021-06-28 00:04:53,Airtel,Better data speed
PORT000138,SIM042342,2019-12-17 17:59:31,,Aircel,Better data speed
PORT000139,SIM012332,2020-07-27 03:05:07,2020-07-31 23:25:57,Jio,Better network coverage
PORT000140,SIM016294,2019-02-14 19:15:26,,Airtel,Better data speed
PORT000141,SIM001626,2021-06-04 22:31:01,2021-06-09 22:22:31,BSNL,Friend recommendation
PORT000142,SIM028735,2023-09-14 14:12:05,2023-09-19 12:33:48,Idea,Better data speed
PORT000143,SIM051561,2019-02-02 14:32:52,2019-02-03 15:43:30,Jio,Attractive offers from new operator
PORT000144,SIM028851,2022-03-01 07:50:54,,MTNL,Relocation to another city
PORT000145,SIM021264,2019-05-03 09:47:23,2019-05-05 17:57:43,MTNL,Poor signal strength
PORT000146,SIM064376,2021-09-24 12:58:21,2021-09-27 02:00:16,Tata Docomo,Friend recommendation
PORT000147,SIM043728,2021-02-07 14:09:26,2021-02-14 11:37:24,Idea,Better customer service
PORT000148,SIM058050,2024-12-17 13:38:57,2024-12-23 13:15:28,BSNL,Attractive offers from new operator
PORT000149,SIM035452,2019-12-11 18:15:39,2019-12-15 18:47:04,Vi,Network quality issues
PORT000150,SIM064056,2023-11-04 16:54:56,2023-11-09 00:48:27,Reliance,Poor signal strength
PORT000151,SIM061313,2020-05-22 02:01:03,,BSNL,Lower tariff plans
PORT000152,SIM020984,2024-12-05 07:25:53,,Vi,Relocation to another city
PORT000153,SIM014713,2022-01-11 04:25:46,2022-01-12 13:48:21,Jio,Better customer service
PORT000154,SIM034583,2024-02-28 18:31:54,2024-03-03 02:42:08,Tata Docomo,Network quality issues
PORT000155,SIM062091,2022-10-01 01:03:21,2022-10-03 05:10:48,Vi,Relocation to another city
PORT000156,SIM029649,2023-12-24 07:46:48,2023-12-31 06:38:02,Tata Docomo,Poor signal strength
PORT000157,SIM045939,2023-05-27 07:25:12,2023-05-30 22:43:08,MTNL,Poor signal strength
PORT000158,SIM033387,2021-08-14 19:46:02,2021-08-20 11:25:15,Vi,Relocation to another city
PORT000159,SIM014181,2021-11-20 07:15:38,2021-11-27 05:02:34,BSNL,Better customer service
PORT000160,SIM030530,2019-06-06 22:13:03,2019-06-13 21:43:05,Vi,Relocation to another city
PORT000161,SIM010387,2020-11-30 01:09:47,2020-12-06 05:25:43,Aircel,Friend recommendation
PORT000162,SIM025763,2021-04-05 01:55:36,2021-04-11 04:20:51,Idea,Better customer service
PORT000163,SIM017398,2020-09-14 00:26:35,,Tata Docomo,Better customer service
PORT000164,SIM032812,2023-07-18 12:18:48,2023-07-21 04:07:35,MTNL,Better customer service
PORT000165,SIM035097,2024-12-29 06:41:27,,Vi,Better customer service
PORT000166,SIM011120,2019-07-20 18:11:51,,Aircel,Better network coverage
PORT000167,SIM061873,2024-03-24 09:27:51,2024-03-28 16:02:29,Aircel,Poor signal strength
PORT000168,SIM004091,2024-05-24 22:13:08,2024-05-30 07:45:44,Idea,Relocation to another city
PORT000169,SIM009338,2023-10-07 15:04:15,2023-10-08 20:10:56,Jio,Better customer service
PORT000170,SIM012212,2024-12-25 10:33:44,,Vi,Better customer service
PORT000171,SIM025776,2023-12-26 20:55:23,2023-12-31 19:28:39,Vi,Relocation to another city
PORT000172,SIM046898,2022-03-30 07:04:01,2022-04-01 08:35:48,Aircel,Network quality issues
PORT000173,SIM037672,2024-12-24 04:35:01,2024-12-26 17:16:11,MTNL,Better customer service
PORT000174,SIM017271,2020-07-23 16:13:48,,BSNL,Friend recommendation
PORT000175,SIM056671,2024-12-24 02:11:01,2024-12-30 08:49:06,BSNL,Relocation to another city
PORT000176,SIM036046,2020-03-15 11:24:58,2020-03-21 02:54:06,Idea,Network quality issues
PORT000177,SIM023070,2024-10-03 23:24:34,2024-10-08 00:00:37,Idea,Lower tariff plans
PORT000178,SIM069512,2024-12-25 16:53:22,2024-12-29 04:41:34,Vi,Attractive offers from new operator
PORT000179,SIM055164,2020-07-11 05:06:01,2020-07-17 03:54:02,Airtel,Better customer service
PORT000180,SIM034607,2019-11-25 14:50:05,2019-12-01 17:26:01,Vi,Network quality issues
PORT000181,SIM021888,2022-10-31 15:38:01,,Reliance,Network quality issues
PORT000182,SIM026377,2022-05-17 08:39:23,2022-05-22 15:43:22,MTNL,Attractive offers from new operator
PORT000183,SIM056481,2024-11-21 00:17:17,2024-11-27 06:51:50,BSNL,Friend recommendation
PORT000184,SIM044539,2019-06-24 00:19:36,2019-06-25 03:54:15,Idea,Relocation to another city
PORT000185,SIM040405,2021-10-12 06:25:04,2021-10-17 15:44:03,Jio,Friend recommendation
PORT000186,SIM052135,2024-12-25 19:02:43,,BSNL,Better network coverage
PORT000187,SIM069179,2024-09-20 02:24:06,2024-09-24 07:06:27,Idea,Relocation to another city
PORT000188,SIM034549,2022-05-14 15:09:55,2022-05-15 20:39:00,Vi,Relocation to another city
PORT000189,SIM056569,2021-12-09 20:20:12,2021-12-12 01:25:43,MTNL,Better network coverage
PORT000190,SIM041395,2021-05-10 11:28:46,,Aircel,Network quality issues
PORT000191,SIM023745,2022-07-01 18:32:40,2022-07-06 04:24:59,Aircel,Lower tariff plans
PORT000192,SIM045102,2024-12-27 22:30:23,,Aircel,Attractive offers from new operator
PORT000193,SIM052006,2023-08-31 16:37:05,2023-09-07 09:31:47,Idea,Attractive offers from new operator
PORT000194,SIM067171,2019-10-04 18:01:24,,Jio,Better network coverage
PORT000195,SIM057640,2019-05-14 20:52:52,2019-05-21 13:17:26,Tata Docomo,Friend recommendation
PORT000196,SIM061192,2024-11-05 07:08:20,2024-11-08 03:51:23,Airtel,Poor signal strength
PORT000197,SIM032473,2020-12-13 02:24:38,2020-12-15 04:34:18,Airtel,Network quality issues
PORT000198,SIM013917,2021-09-05 15:45:39,2021-09-07 18:19:01,BSNL,Attractive offers from new operator
PORT000199,SIM040080,2021-03-26 07:16:44,2021-03-28 02:51:44,Reliance,Relocation to another city
PORT000200,SIM029852,2023-02-24 14:26:55,2023-03-01 14:48:33,Reliance,Attractive offers from new operator
PORT000201,SIM065151,2022-11-14 21:43:30,2022-11-18 14:31:58,MTNL,Better network coverage
PORT000202,SIM001054,2021-02-05 18:31:59,,Vi,Lower tariff plans
PORT000203,SIM002591,2024-12-28 18:25:49,,Tata Docomo,Poor signal strength
PORT000204,SIM055820,2024-12-21 22:43:03,2024-12-24 13:31:29,Jio,Relocation to another city
PORT000205,SIM036500,2022-07-02 03:45:49,2022-07-06 03:36:38,MTNL,Lower tariff plans
PORT000206,SIM037827,2024-12-23 23:58:53,2024-12-27 21:17:11,Jio,Poor signal strength
PORT000207,SIM028195,2018-12-20 03:51:11,2018-12-26 19:17:38,MTNL,Attractive offers from new operator
PORT000208,SIM000781,2019-11-16 09:56:09,,Idea,Better customer service
PORT000209,SIM054177,2024-12-29 03:43:51,,Tata Docomo,Lower tariff plans
PORT000210,SIM066498,2019-12-09 07:01:31,2019-12-11 13:03:41,MTNL,Better customer service
PORT000211,SIM001796,2024-12-28 03:21:12,2024-12-30 20:32:13,Idea,Poor signal strength
PORT000212,SIM044829,2021-12-10 04:52:27,,MTNL,Network quality issues
PORT000213,SIM032574,2021-03-01 20:19:02,2021-03-08 06:50:24,Jio,Attractive offers from new operator
PORT000214,SIM048042,2024-12-29 21:16:15,,Aircel,Lower tariff plans
PORT000215,SIM025236,2019-11-14 21:05:06,2019-11-17 09:40:29,Aircel,Better customer service
PORT000216,SIM041885,2023-03-25 00:15:11,2023-03-29 01:51:34,Idea,Network quality issues
PORT000217,SIM064200,2023-07-26 20:23:43,2023-07-30 10:07:39,Vi,Lower tariff plans
PORT000218,SIM045259,2021-08-07 21:30:04,2021-08-10 01:22:42,Jio,Poor signal strength
PORT000219,SIM051972,2020-11-23 14:27:32,2020-11-29 00:10:04,Aircel,Better customer service
PORT000220,SIM060013,2020-09-17 23:37:12,,Idea,Better customer service
PORT000221,SIM023146,2021-08-31 01:58:56,2021-09-04 20:05:09,Aircel,Friend recommendation
PORT000222,SIM025366,2021-03-29 17:20:34,2021-04-03 00:42:26,Tata Docomo,Better network coverage
PORT000223,SIM068179,2022-06-10 08:28:31,2022-06-14 16:59:32,Airtel,Better data speed
PORT000224,SIM032114,2024-08-24 21:55:32,2024-08-28 22:57:16,Aircel,Friend recommendation
PORT000225,SIM061854,2024-11-14 06:32:36,2024-11-15 17:45:04,Vi,Better network coverage
PORT000226,SIM014070,2020-04-23 04:20:11,2020-04-27 10:03:49,Idea,Poor signal strength
PORT000227,SIM053075,2024-12-29 17:17:37,,Vi,Attractive offers from new operator
PORT000228,SIM046704,2024-12-26 13:31:21,2024-12-28 22:18:39,Jio,Lower tariff plans
PORT000229,SIM061097,2024-06-20 19:10:45,,MTNL,Better customer service
PORT000230,SIM058871,2018-11-26 06:37:23,2018-12-01 12:17:30,BSNL,Attractive offers from new operator
PORT000231,SIM000013,2021-02-16 02:49:45,2021-02-19 18:29:11,Tata Docomo,Lower tariff plans
PORT000232,SIM032329,2024-10-18 13:00:33,2024-10-23 07:29:07,MTNL,Friend recommendation
PORT000233,SIM044861,2021-07-31 02:54:40,2021-08-02 17:42:32,Aircel,Attractive offers from new operator
PORT000234,SIM014237,2022-02-21 04:40:21,2022-02-23 19:19:52,Tata Docomo,Better network coverage
PORT000235,SIM061845,2021-11-03 19:03:27,2021-11-04 23:17:26,Tata Docomo,Better network coverage
PORT000236,SIM046101,2021-05-30 11:34:10,2021-06-01 20:47:06,Jio,Poor signal strength
PORT000237,SIM050018,2020-03-17 08:27:23,,BSNL,Better network coverage
PORT000238,SIM017282,2023-01-26 23:22:05,2023-02-01 20:43:00,MTNL,Poor signal strength
PORT000239,SIM050966,2022-08-19 11:49:12,2022-08-26 00:23:01,Vi,Better network coverage
PORT000240,SIM048136,2020-09-11 11:53:55,2020-09-13 16:30:35,BSNL,Relocation to another city
PORT000241,SIM030412,2024-04-26 06:43:03,,Idea,Friend recommendation
PORT000242,SIM018972,2019-02-06 06:10:39,2019-02-12 02:43:20,Tata Docomo,Attractive offers from new operator
PORT000243,SIM067026,2019-02-26 18:33:55,2019-03-04 00:08:32,MTNL,Relocation to another city
PORT000244,SIM015768,2021-09-01 10:40:15,,Idea,Poor signal strength
PORT000245,SIM008131,2021-11-19 22:29:53,2021-11-22 09:13:24,Aircel,Lower tariff plans
PORT000246,SIM032788,2020-09-29 08:33:39,2020-10-03 17:53:54,MTNL,Poor signal strength
PORT000247,SIM025957,2018-10-16 15:14:29,2018-10-20 05:45:23,Aircel,Friend recommendation
PORT000248,SIM048675,2020-05-04 12:52:20,2020-05-07 05:21:43,Vi,Friend recommendation
PORT000249,SIM046960,2023-06-19 04:19:10,2023-06-23 02:25:35,Idea,Better customer service
PORT000250,SIM002101,2024-12-25 00:43:12,2024-12-27 15:20:54,Reliance,Better customer service
PORT000251,SIM024302,2019-02-13 03:49:40,2019-02-16 06:44:15,Idea,Network quality issues
PORT000252,SIM059587,2023-09-06 20:11:14,2023-09-10 18:17:16,Jio,Relocation to another city
PORT000253,SIM004237,2023-05-24 18:46:00,2023-05-31 04:07:57,Tata Docomo,Attractive offers from new operator
PORT000254,SIM018617,2023-03-21 18:13:53,,Jio,Lower tariff plans
PORT000255,SIM038299,2023-12-23 23:07:57,2023-12-30 11:43:20,MTNL,Better network coverage
PORT000256,SIM066252,2022-02-07 07:03:06,2022-02-09 05:11:17,Tata Docomo,Network quality issues
PORT000257,SIM050244,2020-02-17 21:49:49,2020-02-21 07:10:16,Tata Docomo,Better network coverage
PORT000258,SIM027597,2024-03-03 21:29:22,2024-03-07 00:57:47,MTNL,Poor signal strength
PORT000259,SIM069439,2022-04-02 10:26:18,2022-04-09 06:51:07,MTNL,Poor signal strength
PORT000260,SIM002749,2021-09-09 14:27:12,,Jio,Poor signal strength
PORT000261,SIM024429,2021-08-12 18:24:36,2021-08-14 18:11:26,Jio,Better customer service
PORT000262,SIM024037,2024-03-03 20:23:41,2024-03-10 03:30:29,Reliance,Better data speed
PORT000263,SIM056067,2024-07-14 16:17:07,2024-07-16 05:54:45,Aircel,Better network coverage
PORT000264,SIM026922,2021-09-18 09:46:23,2021-09-20 13:16:51,Airtel,Better data speed
PORT000265,SIM061733,2024-11-07 19:12:09,2024-11-11 18:33:58,Jio,Friend recommendation
PORT000266,SIM052121,2023-02-12 12:22:24,2023-02-19 09:35:39,Vi,Friend recommendation
PORT000267,SIM048314,2022-07-18 09:20:59,2022-07-20 14:12:05,Idea,Friend recommendation
PORT000268,SIM048171,2020-12-21 09:26:12,2020-12-26 07:41:54,MTNL,Better customer service
PORT000269,SIM018191,2024-12-27 01:10:49,2024-12-30 21:39:36,Tata Docomo,Better data speed
PORT000270,SIM042853,2023-06-15 10:39:21,2023-06-20 10:03:53,Vi,Better network coverage
PORT000271,SIM066306,2020-06-20 12:56:56,2020-06-24 23:48:50,MTNL,Attractive offers from new operator
PORT000272,SIM058912,2020-03-10 04:07:54,2020-03-16 00:11:28,Reliance,Friend recommendation
PORT000273,SIM019203,2024-10-22 11:44:31,2024-10-29 04:28:56,Aircel,Poor signal strength
PORT000274,SIM014784,2020-02-27 11:23:54,2020-02-28 21:35:21,Tata Docomo,Better network coverage
PORT000275,SIM002578,2019-01-13 23:38:12,,Idea,Network quality issues
PORT000276,SIM029570,2023-08-31 22:23:18,2023-09-03 18:32:28,Tata Docomo,Network quality issues
PORT000277,SIM007562,2021-01-29 04:48:30,2021-01-30 16:42:25,Idea,Better network coverage
PORT000278,SIM064368,2020-02-15 07:59:13,,Reliance,Network quality issues
PORT000279,SIM054653,2020-02-15 17:54:46,2020-02-18 03:05:50,Idea,Friend recommendation
PORT000280,SIM014485,2019-06-30 14:24:38,2019-07-06 03:39:35,Aircel,Better data speed
PORT000281,SIM037311,2024-12-24 19:03:50,2024-12-28 21:59:27,Jio,Relocation to another city
PORT000282,SIM022613,2021-09-21 22:56:29,,Jio,Lower tariff plans
PORT000283,SIM060817,2019-10-12 17:55:12,2019-10-17 05:54:43,MTNL,Better network coverage
PORT000284,SIM063893,2020-06-16 13:14:56,2020-06-20 22:32:52,Vi,Lower tariff plans
PORT000285,SIM014814,2021-01-12 13:40:25,,Aircel,Lower tariff plans
PORT000286,SIM061772,2023-10-24 21:31:00,2023-10-26 06:22:43,BSNL,Better data speed
PORT000287,SIM046202,2019-09-28 11:55:26,,Tata Docomo,Attractive offers from new operator
PORT000288,SIM046735,2020-06-30 09:44:29,2020-07-07 01:04:56,Airtel,Better network coverage
